name,size,strands,diameter,weight,strength,gmr,current,DCohms,ACohms
Oceanside,383,,0.68,395,15800,0.0231,987,0.2319,0.2374
Linnet,430,,0.72,439,16100,0.0244,1067,0.2055,0.2103
Oriole,439,,0.741,462,21900,0.0254,1087,0.2019,0.2065
Waco,454,,0.77,486,25600,0.0265,1115,0.1951,0.1996
Laredo,530,,0.807,547,22400,0.0274,1223,0.1671,0.1712
Irving,609,,0.882,648,32900,0.0303,1348,0.1454,0.1491
Hawk,611,,0.858,624,23000,0.029,1358,0.1448,0.1485
Dove,714,,0.927,729,27200,0.0314,1486,0.124,0.1274
Amarillo,785,,0.99,826,39100,0.0339,1579,0.1131,0.1168
Grosbeak,821,,0.99,836,30100,0.0335,1620,0.1081,0.1114
Lubbock,904,,1.04,924,34700,0.0352,1729,0.0979,0.1011
Galveston,1011,,1.09,1025,35400,0.0368,1856,0.0875,0.0907
Drake,1026,,1.108,1052,40600,0.0376,1884,0.0863,0.0892
Curlew,1033,,1.14,1088,48400,0.0389,1901,0.0862,0.0898
Plano,1059,,1.127,1073,35700,0.0379,1913,0.084,0.0876
Corpus Christi,1103,,1.146,1113,36000,0.0385,1962,0.0806,0.0843
Arlington,1151,,1.177,1173,41400,0.0397,2021,0.0773,0.0809
Cardinal,1222,,1.198,1225,36800,0.0402,2101,0.0728,0.0762
Fort Worth,1300,,1.24,1312,42400,0.0417,2183,0.0684,0.0721
El Paso,1350,,1.252,1345,37600,0.0419,2230,0.0659,0.0698
Beaumont,1429,,1.294,1436,43200,0.0434,2317,0.0623,0.0661
San Antonio,1475,,1.315,1484,45400,0.0441,2408,0.0603,0.0623
Bittern,1582,,1.345,1566,39100,0.0448,2466,0.0566,0.0603
Dallas,1795,,1.452,1793,47500,0.0485,2689,0.0497,0.0546
Houston,1927,,1.506,1934,54100,0.0504,2833,0.0459,0.051
Lapwing,1949,,1.504,1938,48400,0.0501,2821,0.0458,0.0507
Falcon,2045,,1.545,2045,54900,0.0516,2923,0.0436,0.0479
Bluebird,2741,,1.762,2703,59300,0.0585,3474,0.0326,0.0387
