Name,Size,Diameter,Core Diameter,Weight,Core Rated Strength,Conductor Rated Strength,DC Ohms 20,AC Ohms 25,AC Ohms 75,AC Ohms 180,Ampacity,,
,kcmil,in,in,lb/kft,lbf,lbf,ohm/mile,ohm/mile,ohm/mile,ohm/mile,75,180,200
ULS MONTE CARLO,451,0.818,0.415,532,50600,53500,0.1979,0.2023,0.2421,0.3257,634,1076,1133
ULS OSLO,619,0.882,0.345,656,35100,39100,0.1437,0.1473,0.1762,0.2367,759,1292,1361
ULS LEIPZIG,802,0.99,0.375,842,41200,46300,0.111,0.1143,0.1365,0.1831,888,1522,1605
ULS STOCKHOLM ,3L895,1.039,0.345,916,35100,40800,0.0993,0.1025,0.1223,0.1639,950,1634,1723
ULS STOCKHOLM ,2L914,1.039,0.345,934,35100,41000,0.0974,0.1006,0.12,0.1608,959,1650,1740
ULS WARSAW,1002,1.091,0.345,1018,35100,41500,0.089,0.0922,0.1099,0.1471,1015,1751,1848
ULS DUBLIN,1035,1.108,0.375,1061,41200,47800,0.0859,0.0891,0.1061,0.142,1037,1791,1889
ULS KOLKATA,1073,1.127,0.375,1101,41200,48100,0.0832,0.0863,0.1029,0.1376,1059,1829,1931
ULS HAMBURG,1078,1.127,0.345,1090,35100,42000,0.0827,0.086,0.1024,0.1368,1061,1834,1936
ULS MAHAKAM,1075,1.142,0.415,1117,50600,57500,0.0827,0.0863,0.1027,0.1371,1063,1840,1942
ULS MILAN,1120,1.146,0.345,1130,35100,42300,0.0795,0.0828,0.0985,0.1316,1086,1880,1985
ULS ROME,1169,1.177,0.375,1189,41200,48700,0.0763,0.0795,0.0946,0.1263,1117,1936,2044
ULS VIENNA,1242,1.198,0.345,1242,35100,43100,0.0716,0.075,0.0891,0.1187,1156,2008,2120
ULS BUDAPEST,1319,1.24,0.375,1330,41200,49700,0.0676,0.0709,0.0842,0.1122,1200,2089,2206
ULS MUMBAI,1353,1.251,0.375,1365,41200,49900,0.066,0.0693,0.0823,0.1095,1217,2119,2239
ULS PRAGUE,1363,1.251,0.345,1361,35100,43800,0.0655,0.069,0.0818,0.1088,1220,2126,2246
ULS MUNICH,1447,1.293,0.375,1455,41200,50500,0.0618,0.0652,0.0773,0.1028,1266,2211,2337
ULS LONDON,1498,1.315,0.385,1505,43500,53100,0.0595,0.063,0.0746,0.0991,1294,2264,2393
ULS PARIS,1606,1.345,0.345,1587,35100,45400,0.0555,0.0593,0.07,0.0927,1344,2358,2493
ULS BORDEAUX,1739,1.408,0.415,1744,50600,61700,0.0512,0.0547,0.0647,0.0856,1416,2489,2632
ULS ANTWERP,1865,1.451,0.385,1849,43500,55500,0.0478,0.0517,0.0609,0.0802,1471,2598,2749
ULS BERLIN,1986,1.504,0.415,1977,50600,63300,0.0447,0.0487,0.0572,0.0752,1532,2714,2873
ULS MADRID,1999,1.504,0.385,1975,43500,56300,0.0444,0.0485,0.057,0.0748,1535,2722,2881
ULS ATHENS,2782,1.762,0.415,2727,50600,68400,0.032,0.0371,0.0429,0.0552,1844,3336,3539
