name,size,strands,diameter,weight,strength,gmr,current,DCohms,ACohms
Turkey,6,6/1,0.198,36,1190,0.0017,105,0.64,0.819
Swan,4,6/1,0.25,57.4,1860,0.0026,140,0.402,0.524
Swanate,4,7/1,0.257,66.9,2360,0.0022,140,0.397,0.529
Sparrow,2,6/1,0.316,91.2,2850,0.0039,185,0.253,0.337
Sparate,2,7/1,0.325,106.5,3640,0.0037,170,0.249,0.341
Robin,1,6/1,0.354,115,3550,0.0048,210,0.201,0.271
Raven,1/0,6/1,0.398,145.2,4380,0.0059,240,0.159,0.218
Quail,2/0,6/1,0.447,182.8,5300,0.0072,275,0.126,0.177
Pigeon,3/0,6/1,0.502,230.5,6620,0.0086,315,0.1,0.143
Penguin,4/0,6/1,0.563,290.8,8350,0.0101,365,0.0793,0.116
Waxwing,266.8,18/1,0.608,288.7,6880,0.0196,450,0.0642,0.0785
Spoonbill,266.8,22/7,0.624,319.8,8720,0.0206,455,0.0639,0.0781
Scaup,266.8,24/7,0.632,342.2,10000,0.021,455,0.0637,0.0778
Partridge,266.8,26/7,0.642,366.1,11300,0.0215,460,0.0634,0.0774
Junco,266.8,30/7,0.66,416.4,13900,0.0225,465,0.0628,0.0767
Ostrich,300,26/7,0.68,411.4,12700,0.0228,495,0.0564,0.0689
Merlin,336.4,18/1,0.684,364.2,8680,0.022,520,0.0509,0.0623
Trogon,336.4,20/7,0.692,377.3,9470,0.0226,520,0.0509,0.0623
Woodcock,336.4,22/7,0.701,403.5,10900,0.0231,525,0.0506,0.0619
Widgeon,336.4,24/7,0.71,431.6,12500,0.0236,525,0.0504,0.0617
Linnet,336.4,26/7,0.72,461.1,14100,0.0242,530,0.0503,0.0615
Oriole,336.4,30/7,0.741,525.2,17300,0.0253,535,0.0498,0.0609
Chickadee,397.5,18/1,0.743,430.4,9940,0.024,575,0.0431,0.0528
Ptarmigan,397.5,20/7,0.752,446.1,11100,0.0245,580,0.043,0.0527
Stork,397.5,22/7,0.762,476.5,12900,0.0251,580,0.0429,0.0525
Brant,397.5,24/7,0.772,510.1,14600,0.0257,585,0.0427,0.0523
Ibis,397.5,26/7,0.783,544.9,16300,0.0263,590,0.0426,0.0521
Lark,397.5,30/7,0.806,620.4,20300,0.0275,595,0.0422,0.0515
Pelican,477,18/1,0.814,516.6,11800,0.0262,645,0.0359,0.044
Tailorbird,477,20/7,0.823,534.7,13100,0.0269,650,0.0359,0.044
Toucan,477,22/7,0.834,571.5,15200,0.0275,650,0.0357,0.0438
Flicker,477,24/7,0.846,612.2,17200,0.0281,655,0.0356,0.0436
Hawk,477,26/7,0.858,654,19500,0.0288,660,0.0355,0.0434
Hen,477,30/7,0.883,744.7,23800,0.0301,670,0.0351,0.043
Heron,500,30/7,0.904,780.5,25000,0.0308,690,0.0335,0.041
Osprey,556.5,18/1,0.879,602.4,13700,0.0283,710,0.0308,0.0378
Tody,556.5,20/7,0.89,624.1,15300,0.029,715,0.0308,0.0378
Sapsucker,556.5,22/7,0.901,666.6,17600,0.0297,720,0.0306,0.0376
Parakeet,556.5,24/7,0.914,714.1,19800,0.0304,725,0.0305,0.0374
Dove,556.5,26/7,0.927,763.7,22600,0.0311,725,0.0304,0.0372
Eagle,556.5,30/7,0.953,868.7,27800,0.0325,735,0.0301,0.0369
Peacock,605,24/7,0.953,776.7,21600,0.0317,760,0.028,0.0344
Squab,605,26/7,0.966,829.7,24300,0.0324,765,0.028,0.0343
Wood,605,30/7,0.994,944.3,28900,0.0339,775,0.0277,0.0339
Teal,605,30/19,0.994,937.2,30000,0.0339,775,0.0277,0.034
Swift,636,36/1,0.93,643.5,13800,0.0301,750,0.0271,0.0349
Kingbird,636,18/1,0.94,688.9,15700,0.0303,775,0.0269,0.0331
Turacos,636,20/7,0.951,713.1,17400,0.031,775,0.0269,0.0331
Goldfinch,636,22/7,0.963,762,19800,0.0317,780,0.0268,0.033
Rook,636,24/7,0.977,816,22600,0.0325,785,0.0267,0.0328
Grosbeak,636,26/7,0.99,872.5,25200,0.0333,790,0.0266,0.0326
Scoter,636,30/7,1.019,992.8,30400,0.0348,800,0.0263,0.0323
Egret,636,30/19,1.019,985.6,31500,0.0348,800,0.0264,0.0323
Flamingo,666.6,24/7,1,855.6,23700,0.0333,810,0.0254,0.0313
Gannet,666.6,26/7,1.014,914.4,26400,0.034,815,0.0254,0.0312
Stilt,715.5,24/7,1.036,918.3,25500,0.0345,845,0.0237,0.0292
Starling,715.5,26/7,1.051,981.8,28400,0.0353,850,0.0236,0.029
Redwing,715.5,30/19,1.081,1108,34600,0.0369,860,0.0234,0.0288
Coot,795,36/1,1.04,804.5,16800,0.0337,865,0.0217,0.028
Macaw,795,42/7,1.055,857.7,20100,0.0345,870,0.0217,0.0279
Turbit,795,20/7,1.063,891.9,21800,0.0347,890,0.0215,0.0266
Tern,795,45/7,1.063,895.2,22100,0.035,870,0.0216,0.0278
Puffin,795,22/7,1.077,953,24800,0.0355,900,0.0214,0.0265
Cuckoo,795,24/7,1.092,1020,27900,0.0363,905,0.0214,0.0263
Condor,795,54/7,1.092,1024,28200,0.0366,880,0.0215,0.0276
Drake,795,26/7,1.108,1091,31500,0.0372,910,0.0213,0.0262
Mallard,795,30/19,1.14,1232,38400,0.0389,920,0.0211,0.0259
Ruddy,900,45/7,1.131,1013,24400,0.0373,940,0.0191,0.0246
Canary,900,54/7,1.162,1160,31900,0.039,955,0.019,0.0244
Catbird,954,36/1,1.14,966,19800,0.0369,970,0.0181,0.0234
Phoenix,954,42/7,1.155,1029,23400,0.0378,975,0.0181,0.0233
Corncrake,954,20/7,1.165,1070,25600,0.038,1000,0.0179,0.0223
Rail,954,45/7,1.165,1075,25900,0.0384,975,0.018,0.0233
Towhee,954,48/7,1.175,1124,28500,0.039,980,0.018,0.0232
Redbird,954,24/7,1.196,1224,33500,0.0398,1010,0.0178,0.022
Cardinal,954,54/7,1.196,1229,33800,0.0401,990,0.0179,0.023
Canvasback,954,30/19,1.248,1478,46100,0.0426,1030,0.0176,0.0217
Snowbird,1033.5,42/7,1.203,1116,25400,0.0394,1025,0.0167,0.0216
Ortolan,1033.5,45/7,1.212,1163,27700,0.0399,1025,0.0167,0.0215
Whooper,1033.5,48/7,1.223,1216,30800,0.0405,1030,0.0166,0.0214
Curlew,1033.5,54/7,1.245,1331,36600,0.0417,1040,0.0165,0.0213
Avocet,1113,42/7,1.248,1201,27100,0.0409,1070,0.0155,0.0201
Bluejay,1113,45/7,1.259,1254,29800,0.0415,1075,0.0154,0.02
Bullfinch,1113,48/7,1.269,1311,32800,0.0421,1080,0.0154,0.0199
Finch,1113,54/19,1.293,1428,39100,0.0434,1090,0.0153,0.0198
Oxbird,1192.5,42/7,1.292,1286,29000,0.0423,1115,0.0145,0.0188
Bunting,1192.5,45/7,1.302,1343,32000,0.0429,1120,0.0144,0.0187
Cormorant,1192.5,48/7,1.313,1404,34700,0.0435,1125,0.0144,0.0187
Grackle,1192.5,54/19,1.338,1529,41900,0.0449,1135,0.0143,0.0185
Skylark,1272,36/1,1.316,1288,26400,0.0426,1155,0.0135,0.0177
Scissortail,1272,42/7,1.334,1372,30900,0.0437,1160,0.0136,0.0177
Bittern,1272,45/7,1.345,1432,34100,0.0443,1165,0.0135,0.0176
Diver,1272,48/7,1.357,1498,37000,0.045,1170,0.0135,0.0175
Pheasant,1272,54/19,1.382,1631,43600,0.0463,1180,0.0134,0.0174
Ringdove,1351.5,42/7,1.376,1458,32900,0.0451,1205,0.0128,0.0167
Dipper,1351.5,45/7,1.386,1522,36200,0.0457,1210,0.0127,0.0166
None,1351.5,48/7,1.398,1591,39400,0.0464,1215,0.0127,0.0165
Martin,1351.5,54/19,1.424,1732,46300,0.0478,1225,0.0126,0.0164
Popinjay,1431,42/7,1.415,1544,34800,0.0464,1250,0.012,0.0158
Bobolink,1431,45/7,1.427,1611,38300,0.047,1255,0.012,0.0157
Wagtail,1431,48/7,1.439,1686,41700,0.0477,1260,0.012,0.0157
Plover,1431,54/19,1.465,1835,49100,0.0491,1270,0.0119,0.0155
Nuthatch,1510.5,45/7,1.466,1701,40100,0.0483,1295,0.0114,0.015
Parrot,1510.5,54/19,1.505,1935,51700,0.0505,1315,0.0113,0.0148
Ratite,1590,42/7,1.492,1716,38700,0.0489,1330,0.0108,0.0143
Lapwing,1590,45/7,1.504,1791,42200,0.0496,1335,0.0108,0.0143
Hornbill,1590,48/7,1.517,1872,45300,0.0503,1340,0.0108,0.0142
Falcon,1590,54/19,1.545,2039,54500,0.0518,1355,0.0107,0.0141
Chukar,1780,84/19,1.602,2074,51000,0.0532,1455,0.00969,0.0125
Seahawk,1869,68/7,1.603,1925,40000,0.0523,1470,0.00928,0.0121
Mockingbird,2034.5,72/7,1.681,2158,46800,0.0551,1550,0.00852,0.0112
Roadrunner,2057.5,76/19,1.7,2245,50400,0.056,1565,0.00842,0.0111
Bluebird,2156,84/19,1.762,2510,60300,0.0585,1620,0.008,0.0105
Kiwi,2167,72/7,1.735,2299,49800,0.0569,1605,0.008,0.0106
Thrasher,2312,76/19,1.802,2523,56700,0.0593,1670,0.00749,0.01
Joree,2515,76/19,1.88,2745,61700,0.0619,1750,0.00688,0.00934
