name,size,strands,diameter,weight,strength,gmr,current,DCohms,ACohms
Copper 8,8,1,0.1285,264,826,0.00417,90,3.8,3.8
Copper 7,7,1,0.1443,333,1030,0.00468,110,3.01,3.01
Copper 6,6,1,0.162,420,1280,0.00526,120,2.39,2.39
Copper 6,6,3,0.201,424,1205,0.00568,130,2.41,2.41
Copper 5,5,1,0.1819,592,1591,0.0059,140,1.895,1.895
Copper 5,5,3,0.226,534,1505,0.00638,150,1.914,1.914
Copper 4,4,1,0.204,667,1970,0.00663,170,1.503,1.503
Copper 4,4,3,0.254,674,1879,0.00717,180,1.518,1.518
Copper 3,3,1,0.229,841,2439,0.00745,190,1.192,1.192
Copper 3,3,3,0.285,850,2359,0.00805,200,1.204,1.204
Copper 3,3,7,0.26,858,2433,0.00787,200,1.216,1.216
Copper 2,2,1,0.258,1061,3003,0.00836,220,0.945,0.945
Copper 2,2,3,0.32,1071,2913,0.00903,240,0.955,0.955
Copper 2,2,7,0.292,1082,3045,0.00883,230,0.964,0.964
Copper 1,1,3,0.36,1351,3620,0.01016,270,0.757,0.757
Copper 1,1,7,0.328,1364,3804,0.000992,270,0.765,0.765
Copper 1/0,1/0,7,0.368,1720,4752,0.01113,310,0.606,0.607
Copper 2/0,2/0,7,0.414,2170,5926,0.01252,360,0.481,0.481
Copper 3/0,3/0,7,0.464,2736,7366,0.01404,420,0.381,0.382
Copper 3/0,3/0,12,0.492,2736,7556,0.01559,420,0.381,0.382
Copper 4/0,4/0,7,0.522,3450,9154,0.01579,480,0.302,0.303
Copper 4/0,4/0,12,0.552,3450,9483,0.0175,490,0.302,0.303
Copper 4/0,4/0,19,0.528,3450,9617,0.01668,480,0.302,0.303
Copper 250,250,12,0.6,4076,11130,0.01902,540,0.256,0.257
Copper 250,250,19,0.574,4076,11360,0.01813,540,0.256,0.257
Copper 300,300,12,0.657,4891,13170,0.0208,610,0.213,0.215
Copper 300,300,19,0.629,4891,13510,0.01987,610,0.213,0.215
Copper 350,350,12,0.71,5706,15140,0.0225,670,0.1828,0.1845
Copper 350,350,19,0.679,5706,15590,0.0214,670,0.1828,0.1845
Copper 400,400,19,0.726,6521,17560,0.0229,730,0.16,0.1619
Copper 450,450,19,0.77,7336,17750,0.0243,730,0.1422,0.1443
Copper 500,500,19,0.811,8151,21590,0.0256,780,0.1422,0.1443
Copper 500,500,37,0.814,8151,22510,0.026,840,0.128,0.1303
Copper 600,600,37,0.891,9781,27020,0.0285,940,0.1066,0.1095
Copper 700,700,37,0.963,11410,31170,0.0308,1040,0.0914,0.0947
Copper 750,750,37,0.997,12230,33400,0.0319,1090,0.0853,0.0888
Copper 800,800,37,1.029,13040,35120,0.0329,1130,0.08,0.0837
Copper 900,900,37,1.092,14670,39510,0.0349,1220,0.0711,0.0752
Copper 1000,1000,37,1.151,16300,43830,0.0368,1300,0.064,0.0685
