name,size,strands,diameter,weight,strength,gmr,current,DCohms,ACohms
Copperweld 19#5,19#5,19,0.91,1769,55570,0.00758,620,0.363,0.499
Copperweld 19#6,19#6,19,0.81,1403,45830,0.00675,540,0.458,0.605
Copperweld 19#7,19#7,19,0.722,1113,37740,0.00601,470,0.577,0.737
Copperweld 19#8,19#8,19,0.643,882.7,31040,0.00535,410,0.728,0.902
Copperweld 19#9,19#9,19,0.572,699.6,25500,0.00477,360,0.917,1.106
Copperweld 7#4,7#4,7,0.613,818.8,24780,0.00511,410,0.778,0.887
Copperweld 7#5,7#5,7,0.546,649.1,20470,0.00455,360,0.981,1.099
Copperweld 7#6,7#6,7,0.486,514.8,16890,0.00405,310,1.237,1.364
Copperweld 7#7,7#7,7,0.433,408.5,13910,0.00361,270,1.56,1.697
Copperweld 7#8,7#8,7,0.386,323.9,11440,0.00321,230,1.967,2.12
Copperweld 7#9,7#9,7,0.343,256.7,9393,0.00286,200,2.48,2.64
Copperweld 7#10,7#10,7,0.306,203.7,7758,0.00255,170,3.13,3.3
Copperweld 3#5,3#5,3,0.392,277.6,9262,0.00457,220,2.29,2.35
Copperweld 3#6,3#6,3,0.349,220.2,7639,0.00407,190,2.88,2.95
Copperweld 3#7,3#7,3,0.311,174.7,6291,0.00363,160,3.63,3.71
Copperweld 3#8,3#8,3,0.277,138.5,5174,0.00323,140,4.58,4.66
Copperweld 3#9,3#9,3,0.247,109.8,4250,0.00288,120,5.78,5.86
Copperweld 3#10,3#10,3,0.22,87.1,3509,0.00257,110,7.28,7.38
