name,size,strands,diameter,weight,strength,gmr,current,DCohms,ACohms
Copperclad 19#4,19#4,19,1.022,2346.4,24474,,,0.0451,0.0451
Copperclad 19#5,19#5,19,0.91,1860.1,19402,,,0.0569,0.0569
Copperclad 19#6,19#6,19,0.81,1475.3,15389,,,0.0717,0.0717
Copperclad 19#7,19#7,19,0.722,1170.6,12210,,,0.0904,0.0904
Copperclad 19#8,19#8,19,0.643,928.3,9682,,,0.114,0.114
Copperclad 19#9,19#9,19,0.572,735.7,7674,,,0.1438,0.1438
Copperclad 4/0,4/0,19,0.528,625.7,6526,,,0.1691,0.1691
Copperclad 19#10,19#10,19,0.51,583.7,6089,,,0.1812,0.1812
Copperclad 7#4,7#4,7,0.613,861,9017,,,0.1219,0.1219
Copperclad 7#5,7#5,7,0.546,682.6,7148,,,0.1538,0.1538
Copperclad 7#6,7#6,7,0.486,541.4,5670,,,0.1939,0.1939
Copperclad 7#7,7#7,7,0.433,429.6,4498,,,0.2443,0.2443
Copperclad 2/0,2/0,7,0.414,392.3,4108,,,0.2675,0.2675
Copperclad 7#8,7#8,7,0.386,340.6,3567,,,0.3081,0.3081
Copperclad 1/0,1/0,7,0.368,311.1,3258,,,0.3374,0.3374
Copperclad 7#9,7#9,7,0.343,270,2827,,,0.3887,0.3887
Copperclad 7#10,7#10,7,0.306,214.2,2243,,,0.49,0.49
Copperclad 3#4,3#4,3,0.44,368.3,4079,,,0.2838,0.2838
Copperclad 3#5,3#5,3,0.392,292,3234,,,0.3581,0.3581
Copperclad 3#6,3#6,3,0.349,231.6,2565,,,0.4514,0.4514
Copperclad 3#7,3#7,3,0.311,183.7,2035,,,0.569,0.569
Copperclad 3#8,3#8,3,0.277,145.7,1614,,,0.7175,0.7175
Copperclad 3#9,3#9,3,0.247,115.5,1279,,,0.9053,0.9053
Copperclad 3#10,3#10,3,0.22,91.6,1015,,,1.141,1.141
Copperclad #2 AWG,#2 AWG,7,0.258,152.6,1614,,,0.6879,0.6879
Copperclad #4 AWG,#4 AWG,7,0.204,95.4,1009,,,1.1002,1.1002
Copperclad #2 AWG,#2 AWG,1,0.258,193.7,2276,,,0.5313,0.5313
Copperclad #4 AWG,#4 AWG,1,0.204,121.8,1431,,,0.8448,0.8448
Copperclad #6 AWG,#6 AWG,1,0.162,76.6,900,,,1.3432,1.3432
Copperclad #8 AWG,#8 AWG,1,0.129,48.2,566,,,2.1354,2.1354
Copperclad #9 AWG,#9 AWG,1,0.114,38.2,449,,,2.6942,2.6942
Copperclad #10 AWG,#10 AWG,1,0.102,30.3,356,,,3.3957,3.3957
