name,size,strands,diameter,weight,strength,gmr,current,DCohms,ACohms
Copperclad 19#4,19#4,19,1.022,2251.7,58738,,,0.0331,0.0331
Copperclad 19#5,19#5,19,0.91,1785,48719,,,0.0418,0.0418
Copperclad 19#6,19#6,19,0.81,1415.8,40353,,,0.0527,0.0527
Copperclad 19#7,19#7,19,0.722,1123.3,33373,,,0.0664,0.0664
Copperclad 19#8,19#8,19,0.643,890.8,27541,,,0.0837,0.0837
Copperclad 19#9,19#9,19,0.572,706,22681,,,0.1057,0.1057
Copperclad 4/0,4/0,19,0.528,600.4,19289,,,0.1242,0.1242
Copperclad 19#10,19#10,19,0.51,560.2,18753,,,0.1332,0.1332
Copperclad 7#4,7#4,7,0.613,826.3,21640,,,0.0896,0.0896
Copperclad 7#5,7#5,7,0.546,655,17949,,,0.113,0.113
Copperclad 7#6,7#6,7,0.486,519.6,14867,,,0.1424,0.1424
Copperclad 7#7,7#7,7,0.433,412.2,12295,,,0.1795,0.1795
Copperclad 2/0,2/0,7,0.414,376.5,11229,,,0.1966,0.1966
Copperclad 7#8,7#8,7,0.386,326.9,10147,,,0.2264,0.2264
Copperclad 1/0,1/0,7,0.368,298.5,9266,,,0.2479,0.2479
Copperclad 7#9,7#9,7,0.343,259.1,8356,,,0.2856,0.2856
Copperclad 7#10,7#10,7,0.306,205.6,6909,,,0.36,0.36
Copperclad 3#4,3#4,3,0.44,353.4,9790,,,0.2086,0.2086
Copperclad 3#5,3#5,3,0.392,280.2,8120,,,0.2631,0.2631
Copperclad 3#6,3#6,3,0.349,222.2,6725,,,0.3317,0.3317
Copperclad 3#7,3#7,3,0.311,176.3,5562,,,0.4181,0.4181
Copperclad 3#8,3#8,3,0.277,139.8,4590,,,0.5272,0.5272
Copperclad 3#9,3#9,3,0.247,110.8,3780,,,0.6652,0.6652
Copperclad 3#10,3#10,3,0.22,87.9,3125,,,0.8384,0.8384
Copperclad #2 AWG,#2 AWG,7,0.258,146.4,4971,,,0.5054,0.5054
Copperclad #4 AWG,#4 AWG,7,0.204,91.5,2579,,,0.8085,0.8085
Copperclad #2 AWG,#2 AWG,1,0.258,185.8,5462,,,0.3904,0.3904
Copperclad #4 AWG,#4 AWG,1,0.204,116.9,3435,,,0.6207,0.6207
Copperclad #6 AWG,#6 AWG,1,0.162,73.5,2360,,,0.987,0.987
Copperclad #8 AWG,#8 AWG,1,0.129,46.2,1611,,,1.5691,1.5691
Copperclad #9 AWG,#9 AWG,1,0.114,36.6,1326,,,1.9797,1.9797
Copperclad #10 AWG,#10 AWG,1,0.102,29.1,1097,,,2.4952,2.4952
