name,size,strands,diameter,weight,strength
2003-6x19,10M,6x19,0.99,375,11500
2003-12x19,10M,12x19,1.12,441,11500
2003-25x19,10M,25x19,1.29,583,11500
2003-6x22,10M,6x22,0.9,338,11500
2003-12x22,10M,12x22,0.99,375,11500
2003-25x22,10M,25x22,1.13,447,11500
2003-50x22,10M,50x22,1.4,581,11500
2003-6x24,10M,6x24,0.87,324,11500
2003-12x24,10M,12x24,0.93,347,11500
2003-25x24,10M,25x24,1.04,395,11500
2003-50x24,10M,50x24,1.17,482,11500
2003-100x24,10M,100x24,1.38,658,11500
2003-200x24,10M,200x24,1.68,993,11500
2003-300x24,10M,300x24,1.9,1333,11500
2003-400x24,10M,400x24,2.1,1648,11500
2101-50x19,10M,50x19,1.6,855,11500
2101-100x19,10M,100x19,2,1353,11500
2101-200x19,10M,200x19,2.4,2360,11500
2101-300x19,10M,300x19,2.9,3372,11500
2101-25x22,10M,25x22,1.11,442,11500
2101-50x22,10M,50x22,1.29,578,11500
2101-100x22,10M,100x22,1.6,850,11500
2101-200x22,10M,200x22,2,1359,11500
2101-300x22,10M,300x22,2.2,1857,11500
2101-400x22,10M,400x22,2.4,2374,11500
2101-600x22,10M,600x22,2.8,3413,11500
2101-900x22,10M,900x22,3.3,4921,11500
2101-25x24,10M,25x24,1.05,397,11500
2101-50x24,10M,50x24,1.15,481,11500
2101-100x24,10M,100x24,1.36,651,11500
2101-200x24,10M,200x24,1.6,989,11500
2101-300x24,10M,300x24,1.9,1307,11500
2101-400x24,10M,400x24,2,1623,11500
2101-600x24,10M,600x24,2.28,2310,11500
2101-900x24,10M,900x24,2.7,3255,11500
2101-1200x24,10M,1200x24,3,4235,11500
2101-1500x24,10M,1500x24,3.27,5167,11500
2101-1800x24,10M,1800x24,3.6,6162,11500
2101-400x26,10M,400x26,1.8,1159,11500
2101-600x26,10M,600x26,2,1590,11500
2101-900x26,10M,900x26,2.3,2207,11500
2101-1200x26,10M,1200x26,2.55,2813,11500
2101-1500x26,10M,1500x26,2.8,3428,11500
2101-1800x26,10M,1800x26,3,4029,11500
2101-2100x26,10M,2100x26,3.2,4655,11500
2107-25x19,10M,25x19,1.48,713,11500
2107-50x19,10M,50x19,1.71,1023,11500
2107-100x19,10M,100x19,2.12,1638,11500
2107-200x19,10M,200x19,2.6,2748,11500
2107-300x19,10M,300x19,3.09,3803,11500
2107-25x22,10M,25x22,1.26,553,11500
2107-50x22,10M,50x22,1.46,718,11500
2107-100x22,10M,100x22,1.7,1023,11500
2107-200x22,10M,200x22,2.1,1633,11500
2107-300x22,10M,300x22,2.3,2166,11500
2107-400x22,10M,400x22,2.6,2763,11500
2107-600x22,10M,600x22,3,3855,11500
2107-900x22,10M,900x22,3.5,5538,11500
2107-25x24,10M,25x24,1.18,493,11500
2107-50x24,10M,50x24,1.31,598,11500
2107-100x24,10M,100x24,1.5,803,11500
2107-200x24,10M,200x24,1.8,1173,11500
2107-300x24,10M,300x24,2,1543,11500
2107-400x24,10M,400x24,2.18,1908,11500
2107-600x24,10M,600x24,2.5,2612,11500
2107-900x24,10M,900x24,2.9,3697,11500
2107-1200x24,10M,1200x24,3.2,4691,11500
2107-1500x24,10M,1500x24,3.52,5695,11500
2107-1800x24,10M,1800x24,3.8,6853,11500
2107-400x26,10M,400x26,1.9,1383,11500
2107-600x26,10M,600x26,2.2,1827,11500
2107-900x26,10M,900x26,2.55,2510,11500
2107-1200x26,10M,1200x26,2.8,3196,11500
2107-1500x26,10M,1500x26,3.01,3829,11500
2107-1800x26,10M,1800x26,3.18,4478,11500
2107-2100x26,10M,2100x26,3.33,5100,11500
