Name,Phase1Radius,Phase1X,Phase1Hin,Phase1Hout,Phase2Radius,Phase2X,Phase2Hin,Phase2Hout,NeutralRadius,NeutralX,NeutralHin,NeutralHout,GuyRadius,GuyX,GuyH1,GuyH2,GuyH3,GuyH4
"VB1.11,VB2.21",0,-44,-6,-6,0,44,-6,-6,1,2,-42,-42,1,0,-27,,,
"VB1.12,VB2.22",0,-44,-6,-6,0,44,-6,-6,1,15,-42,-42,1,0,-27,,,
"VB1.11P,VB2.21P",0,-44,-2,-2,0,44,-2,-2,1,2,-42,-42,1,0,-27,,,
"VB1.12P,VB2.22P",0,-44,-2,-2,0,44,-2,-2,1,15,-42,-42,1,0,-27,,,
VB1.13,0,-44,-6,-6,0,44,-6,-6,1,3,-42,-42,1,0,-27,,,
VB1.13P,0,-44,-2,-2,0,44,-2,-2,1,3,-42,-42,1,0,-27,,,
VB1.14,0,-44,-6,-6,0,44,-6,-6,0,15,-8,-8,1,0,-27,,,
VB1.14P,0,-44,-2,-2,0,44,-2,-2,0,15,-8,-8,1,0,-27,,,
"VB3.1,VB5.1",0,0,-6,-6,0,0,-54,-54,0,0,-90,-90,1,0,-24,-72,,
VB4.1,0,0,-12,-9,0,0,-60,-54,0,0,-108,-102,1,0,-30,-24,-78,-72
"VB5.21,VB5.31,VB6.21",0,-48,-18,-18,0,48,-18,-18,0,0,0,0,1,0,-27,,,
