Name,Phase1Radius,Phase1X,Phase1Hin,Phase1Hout,Phase2Radius,Phase2X,Phase2Hin,Phase2Hout,Phase3Radius,Phase3X,Phase3Hin,Phase3Hout,NeutralRadius,NeutralX,NeutralHin,NeutralHout,GuyRadius,GuyX,GuyH1,GuyH2,GuyH3,GuyH4,GuyH5,GuyH6
"VC1.11,VC2.21",0,-44,-6,-6,0,0,10,10,0,44,-6,-6,1,2,-42,-42,1,0,-27,,,,,
VC1.12,0,-44,-6,-6,0,0,10,10,0,44,-6,-6,1,15,-42,-42,1,0,-27,,,,,
"VC1.11L,VC2.21L",0,-40,-6,-6,0,0,10,10,0,40,-6,-6,1,2,-42,-42,1,0,-27,,,,,
VC1.12L,0,-40,-6,-6,0,0,10,10,0,40,-6,-6,1,15,-42,-42,1,0,-27,,,,,
"VC1.11P,VC2.21P",0,-44,-2,-2,0,0,14,14,0,44,-2,-2,1,2,-42,-42,1,0,-27,,,,,
VC1.12P,0,-44,-2,-2,0,0,14,14,0,44,-2,-2,1,15,-42,-42,1,0,-27,,,,,
VC1.13,0,-44,-6,-6,0,0,10,10,0,44,-6,-6,1,3,-42,-42,1,0,-27,,,,,
VC1.13L,0,-40,-6,-6,0,0,10,10,0,40,-6,-6,1,3,-42,-42,1,0,-27,,,,,
VC1.13P,0,-44,-2,-2,0,0,14,14,0,44,-6,-6,1,3,-42,-42,1,0,-27,,,,,
"VC1.41,VC2.51",0,-56,-6,-6,0,-19,-6,-6,0,56,-6,-6,0,19,-8,-8,1,0,-27,,,,,
"VC1.41L,VC2.51L",0,-33,-6,-6,0,-19,-6,-6,0,33,-6,-6,0,19,-8,-8,1,0,-27,,,,,
"VC1.41P,VC2.51P",0,-56,-2,-2,0,-19,-2,-2,0,56,-2,-2,0,19,-8,-8,1,0,-27,,,,,
"VC2.52,VC2.52L",0,-56,-6,-6,0,-19,-6,-6,0,56,-6,-6,1,3,-63,-63,1,0,-27,,,,,
VC2.52P,0,-56,-2,-2,0,-19,-2,-2,0,56,-2,-2,1,3,-63,-63,1,0,-27,,,,,
"VC3.1,VC5.1",0,0,-6,-6,0,0,-54,-54,0,0,-102,-102,0,0,-150,-150,1,0,-24,-120,,,,
VC3.2L,0,0,-18,-18,0,0,-66,-66,0,0,-114,-114,0,0,-162,-162,1,0,-30,-78,-126,,,
VC4.1,0,0,-12,-9,0,0,-60,-54,0,0,-108,-102,0,0,-156,-150,1,0,-30,-24,-126,-120,,
VC4.2L,0,0,-12,-9,0,0,-60,-54,0,0,-108,-102,0,0,-156,-150,1,0,-24,-18,-72,-66,-120,-114
VC5.2L,0,0,-6,-6,0,0,-54,-54,0,0,-102,-102,0,0,-150,-150,1,0,-15,-60,-108,,,
"VC5.21,VC5.31,VC6.21,VC6.31",0,-42,-18,-18,0,0,-18,-18,0,42,-18,-18,0,0,-66,-66,1,0,-27,,,,,
VC5.71L,0,-43,-12,-12,0,0,-12,-12,0,43,-12,-12,0,0,-60,-60,1,0,-21,,,,,
"VC6.51,VC6.52G",0,-54,-12,-12,0,-21,-12,-12,0,54,-12,-12,0,21,-12,-12,1,0,-21,,,,,
