Name,Phase1Radius,Phase1X,Phase1Hin,Phase1Hout,Phase2Radius,Phase2X,Phase2Hin,Phase2Hout,Phase3Radius,Phase3X,Phase3Hin,Phase3Hout,Phase4Radius,Phase4X,Phase4Hin,Phase4Hout,Phase5Radius,Phase5X,Phase5Hin,Phase5Hout,Phase6Radius,Phase6X,Phase6Hin,Phase6Hout,NeutralRadius,NeutralX,NeutralHin,NeutralHout,GuyRadius,GuyX,GuyH1,GuyH2,GuyH3,GuyH4,GuyH5,GuyH6
TP-34,0,0,16,16,1,-15,-44,-44,1,15,-92,-92,,,,,,,,,,,,,,,,,,,,,,,,
TP-34B,1,15,-18,-18,1,15,-78,-78,1,15,-138,-138,,,,,,,,,,,,,,,,,1,0,-6,-96,,,,
TP-34C,1,15,-12,-12,1,15,-72,-72,1,15,-132,-132,,,,,,,,,,,,,,,,,1,0,-150,,,,,
TP-34G,1,15,-60,-60,1,-15,-108,-108,1,15,-156,-156,,,,,,,,,,,,,1,-3,-11,-11,,,,,,,,
TP-34GB,1,15,-72,-72,1,15,-132,-132,1,15,-192,-192,,,,,,,,,,,,,1,3,-11,-11,1,0,-21,-153,,,,
TP-34GC,1,15,-72,-72,1,15,-132,-132,1,15,-192,-192,,,,,,,,,,,,,1,-3,-11,-11,1,0,-213,,,,,
TP-46,0,0,20,20,1,-18,-46,-46,1,18,-90,-90,,,,,,,,,,,,,,,,,,,,,,,,
TP-46B,1,18,-18,-18,1,18,-84,-84,1,18,-144,-144,,,,,,,,,,,,,,,,,1,0,-6,-102,,,,
TP-46C,1,18,-12,-12,1,18,-78,-78,1,18,-144,-144,,,,,,,,,,,,,,,,,1,0,-162,,,,,
TP-46G,1,18,-66,-66,1,-18,-120,-120,1,18,-174,-174,,,,,,,,,,,,,1,-3,-11,-11,,,,,,,,
TP-46GB,1,18,-78,-78,1,18,-144,-144,1,18,-210,-210,,,,,,,,,,,,,1,3,-11,-11,1,0,-21,-165,,,,
TP-46GC,1,18,-78,-78,1,18,-144,-144,1,18,-210,-210,,,,,,,,,,,,,1,-3,-11,-11,1,0,-231,,,,,
"TP-1,TP-2",0,-42,-26,-26,0,0,8,8,0,42,-26,-26,,,,,,,,,,,,,,,,,,,,,,,,
"TP-1A,TP-2A",0,-54,-26,-26,0,0,8,8,0,54,-26,-26,,,,,,,,,,,,,,,,,,,,,,,,
"TP-3,TP-4",0,-42,-13,-26,0,0,20,20,0,42,-13,-13,,,,,,,,,,,,,,,,,,,,,,,,
"TP-3A,TP-4A",0,-54,-13,-26,0,0,20,20,0,54,-13,-13,,,,,,,,,,,,,,,,,,,,,,,,
"TP-5,TP-6",0,-42,-129,-129,0,30,-57,-57,0,42,-129,-129,,,,,,,,,,,,,1,-3,-11,-11,,,,,,,,
"TP-5A,TP-6A",0,-54,-129,-129,0,30,-57,-57,0,54,-129,-129,,,,,,,,,,,,,1,-3,-11,-11,,,,,,,,
"TP-7,TP-8",0,-66,-70,-70,0,-20,-70,-70,0,66,-70,-70,,,,,,,,,,,,,1,3,-11,-11,,,,,,,,
"TPD-1,TPD-2",0,-42,6,6,0,-54,-66,-66,0,-42,-138,-138,0,-42,6,6,0,-54,-66,-66,0,-42,-138,-138,,,,,,,,,,,,
"TPD-3,TPD-4",0,-42,14,14,0,-54,-58,-58,0,-42,-130,-130,0,-42,14,14,0,-54,-58,-58,0,-42,-130,-130,,,,,,,,,,,,
"TPD-5,TPD-6",0,-42,-66,-66,0,-54,-138,-138,0,-42,-210,-210,0,-42,-66,-66,0,-54,-138,-138,0,-42,-210,-210,1,-3,-11,-11,,,,,,,,
"TPD-7,TPD-8",0,-42,-58,-58,0,-54,-130,-130,0,-42,-202,-202,0,-42,-58,-58,0,-54,-130,-130,0,-42,-202,-202,1,-3,-11,-11,,,,,,,,
"TS-3,TS-3A",0,-24,-37,-37,0,-24,-109,-109,0,-24,-181,-181,,,,,,,,,,,,,,,,,1,0,-17,-109,-181,,,
TS-4,0,-32,-29,-29,0,-32,-101,-101,0,-32,-173,-173,,,,,,,,,,,,,,,,,1,0,-17,-101,-173,,,
"TS-3G,TS3-GA",0,-24,-92,-92,0,-24,-164,-164,0,-24,-236,-236,,,,,,,,,,,,,1,-3,-11,-11,1,0,-21,-92,-164,-236,,
TS-4G,0,-24,-84,-84,0,-24,-156,-156,0,-24,-228,-228,,,,,,,,,,,,,1,-3,-11,-11,1,0,-21,-84,-156,-228,,
"TS-5,TS-5A",0,0,-6,-32,0,0,-78,-104,0,0,-150,-180,,,,,,,,,,,,,,,,,1,0,-6,-78,-150,,,
"TS-5G,TS-5GA",0,0,-78,-108,0,0,-150,-180,0,0,-222,-252,,,,,,,,,,,,,1,0,-6,-6,1,0,-78,-150,-222,,,
