Name,Type,Phase1Radius,Phase1X,Phase1Hin,Phase1Hout,Phase2Radius,Phase2X,Phase2Hin,Phase2Hout,Phase3Radius,Phase3X,Phase3Hin,Phase3Hout,Phase4Radius,Phase4X,Phase4Hin,Phase4Hout,Phase5Radius,Phase5X,Phase5Hin,Phase5Hout,Phase6Radius,Phase6X,Phase6Hin,Phase6Hout,NeutralRadius,NeutralX,NeutralHin,NeutralHout,Neutral2Radius,Neutral2X,Neutral2Hin,Neutral2Hout,Neutral3Radius,Neutral3X,Neutral3Hin,Neutral3Hout,Pole1Loc,Pole2Loc,Pole3Loc,GuyRadius,GuyX,GuyH1,GuyH2,GuyH3,GuyH4,GuyH5,GuyH6,GuyP1,GuyP2,GuyP3,GuyP4,GuyP5,GuyP6
TP-69,1,0,0,26,26,1,-24,-52,-52,1,24,-102,-102,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
TP-69B,1,1,24,-18,-18,1,24,-90,-90,1,24,-156,-156,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,0,-6,-108,,,,,,,,,,
TP-69C,1,1,24,-12,-12,1,24,-84,-84,1,24,-156,-156,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,0,-174,,,,,,,,,,,
TP-69G,1,1,24,-72,-72,1,-24,-132,-132,1,24,-192,-192,,,,,,,,,,,,,1,-3,-11,-11,,,,,,,,,0,,,,,,,,,,,,,,,,
TP-69GB,1,1,24,-84,-84,1,24,-156,-156,1,24,-228,-228,,,,,,,,,,,,,1,3,-11,-11,,,,,,,,,0,,,1,0,-21,-177,,,,,,,,,,
TP-69GC,1,1,24,-84,-84,1,24,-156,-156,1,24,-228,-228,,,,,,,,,,,,,1,-3,-11,-11,,,,,,,,,0,,,1,0,-249,,,,,,,,,,,
TPS-1,1,0,-54,-64,-64,0,0,26,26,0,54,-64,-64,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
"TS-1,TS-2",1,0,-54,-142,-142,0,42,-70,-70,0,54,-142,-142,,,,,,,,,,,,,1,-3,-11,-11,,,,,,,,,0,,,,,,,,,,,,,,,,
"TS-1X,TS-2X",1,0,-54,-166,-166,0,42,-82,-82,0,54,-166,-166,,,,,,,,,,,,,1,-3,-11,-11,,,,,,,,,0,,,,,,,,,,,,,,,,
TS-1B,1,0,-54,-185,-185,0,42,-113,-113,0,54,-185,-185,,,,,,,,,,,,,1,3,-11,-11,,,,,,,,,0,,,1,0,-21,-239,,,,,,,,,,
