Name,Phase1Radius,Phase1X,Phase1Hin,Phase1Hout,NeutralRadius,NeutralX,NeutralHin,NeutralHout,GuyRadius,GuyX,GuyH1,GuyH2,GuyH3,GuyH4
"A1.1,A1.2",1,0,9,9,1,2,-42,-42,1,0,-27,,,
"A1.2,A2.2",1,0,9,9,1,15,-42,-42,1,0,-27,,,
"A1.1P,A2.1P",1,2,12,12,1,2,-42,-42,1,0,-27,,,
"A1.2P,A2.2P",1,2,12,12,1,15,-42,-42,1,0,-27,,,
"A1.3,A2.3",1,0,9,9,1,2,-42,-42,1,0,-27,,,
"A1.3P,A2.3P",1,2,12,12,1,2,-42,-42,1,0,-27,,,
"A1.4N,A2.4N",1,15,4,4,1,2,-52,-52,1,0,-27,,,
"A1.5N,A2.5N",1,15,4,4,1,15,-52,-52,1,0,-27,,,
"A1.4NP,A2.4NP",1,15,7,7,1,2,-52,-52,1,0,-27,,,
"A1.5NP,A2.5NP",1,15,7,7,1,15,-52,-52,1,0,-27,,,
"A1.6N,A2.6N",1,15,4,4,1,2,-52,-52,1,0,-27,,,
"A1.6NP,A2.6NP",1,15,7,7,1,2,-52,-52,1,0,-27,,,
"A1.11,A2.21",0,-44,-7,-7,0,44,-8,-8,1,0,-27,,,
"A1.11P,A2.21P",0,-44,-4,-4,0,44,-8,-8,1,0,-27,,,
A3,1,0,-6,-6,1,2,-72,-72,1,0,-12,,,
A4.1,1,0,-12,-9,1,2,-60,-54,1,0,-30,-24,,
A4.2,1,0,-6,-15,1,2,-63,-54,1,0,-33,-24,,
"A5.01,A5.02,A5.03",1,0,-6,-6,,,,,,,,,,
"A5.1,A5.2,A5.3,A5.4,A5.5,A5.6,A5.7,A5.8,A5.9",1,0,-6,-6,1,2,-54,-54,1,0,-24,,,
A5.21,0,-44,-18,-18,0,44,-18,-18,1,0,-27,,,
A5.31,0,-44,-18,-18,0,44,-18,-18,1,0,-27,,,
A6.1,1,0,-6,-6,1,2,-54,-54,1,0,-24,,,
A6.2,1,0,-6,-6,1,2,-54,-54,1,0,-24,,,
A6.21,0,-44,-18,-18,0,44,-18,-18,1,0,-27,,,
A6.22,0,-44,-18,-18,0,44,-18,-18,1,0,-27,,,
