StudyPoleTag,PoleTag,PoleNumber,Assembly,AssemblyHeight,ConductorType,ConductorName,Height,DesignTension,Tension,Mcn,Mc,Mcmax,Mcmaxws,Mcmaxx,Mcmaxy,Mcws,Mcwsx,Mcwsy,Mtx,Mty,Span,NormAngle
30-6,A,0,C1.11,0,AAAC,Canton,24.083333333333332,0.5,6650.0,13.815805555555555,2.114935256406666e-15,34.539513888888884,5180.927083333332,-9.517208653829995e-13,-5180.927083333332,3.1724028846099993e-13,3.1724028846099993e-13,0.0,-264254.37499999994,3.236182745044343e-11,300.0,3.141592653589793
30-6,A,1,C1.11,0,AAAC,Canton,25.25,0.5,6650.0,14.485083333333334,2.2173888674436676e-15,36.21270833333333,5431.90625,-9.978249903496503e-13,-5431.90625,3.3260833011655014e-13,3.3260833011655014e-13,0.0,-277055.625,3.392952843420194e-11,300.0,3.141592653589793
30-6,A,2,C1.11,0,AAAC,Canton,24.083333333333332,0.5,6650.0,13.815805555555555,2.114935256406666e-15,34.539513888888884,5180.927083333332,-9.517208653829995e-13,-5180.927083333332,3.1724028846099993e-13,3.1724028846099993e-13,0.0,-264254.37499999994,3.236182745044343e-11,300.0,3.141592653589793
30-6,A,3,C1.11,0,AAAC,Canton,21.0,0.5,6650.0,12.047,1.8441649986660207e-15,30.1175,4517.625,-8.298742493997092e-13,-4517.625,2.766247497999031e-13,2.766247497999031e-13,0.0,-230422.5,2.8218617707653098e-11,300.0,3.141592653589793
30-6,B,0,C1.11,0,AAAC,Canton,24.083333333333332,0.5,6650.0,13.815805555555555,2.114935256406666e-15,34.539513888888884,5180.927083333332,3.172402884609999e-13,5180.927083333332,3.1724028846099993e-13,3.1724028846099993e-13,0.0,264254.37499999994,0.0,300.0,0.0
30-6,B,1,C1.11,0,AAAC,Canton,25.25,0.5,6650.0,14.485083333333334,2.2173888674436676e-15,36.21270833333333,5431.90625,3.3260833011655014e-13,5431.90625,3.3260833011655014e-13,3.3260833011655014e-13,0.0,277055.625,0.0,300.0,0.0
30-6,B,2,C1.11,0,AAAC,Canton,24.083333333333332,0.5,6650.0,13.815805555555555,2.114935256406666e-15,34.539513888888884,5180.927083333332,3.172402884609999e-13,5180.927083333332,3.1724028846099993e-13,3.1724028846099993e-13,0.0,264254.37499999994,0.0,300.0,0.0
30-6,B,3,C1.11,0,AAAC,Canton,21.0,0.5,6650.0,12.047,1.8441649986660207e-15,30.1175,4517.625,2.7662474979990307e-13,4517.625,2.766247497999031e-13,2.766247497999031e-13,0.0,230422.5,0.0,300.0,0.0
35-4,A,0,C1.11,0,AAAC,Canton,28.583333333333332,0.5,6650.0,16.397305555555555,2.510113470406528e-15,40.99326388888889,6148.989583333334,-1.1295510616829376e-12,-6148.989583333334,3.7651702056097916e-13,3.7651702056097916e-13,0.0,-313630.62499999994,3.8408674102083384e-11,300.0,3.141592653589793
35-4,A,1,C1.11,0,AAAC,Canton,29.75,0.5,6650.0,17.066583333333334,2.6125670814435294e-15,42.66645833333334,6399.968750000001,-1.1756551866495882e-12,-6399.968750000001,3.918850622165294e-13,3.918850622165294e-13,0.0,-326431.875,3.997637508584189e-11,300.0,3.141592653589793
