'Class',,'H6','H5,'H4','H3','H2','H1','1','2','3','4','5','6','7','9','10'
'Min Circumference at Top inch',,39,37,35,33,31,29,27,25,23,21,19,17,15,15,12
'Length of Pole feet','Ground-line Distance from Butt feet','Minimum Circumference at 6 feet from Butt,,,,,,,,,,,,,,
20,4,,,,,,,31,29,27,25,23,21,19.5,17.5,14
25,5,,,,,,,33.5,31.5,29.5,27.5,25.5,23,21.5,19.5,15
30,5.5,,,,,,,36.5,34,32,29.5,27.5,25,23.5,20.5,
35,6,,,,,43.5,41.5,39,36.5,34,31.5,29,27,25,,
40,6,,,51,48.5,46,43.5,41,38.5,36,33.5,31,28.5,,,
45,6.5,58.5,56,53.5,51,48.5,45.5,43,40.5,37.5,35,32.5,30,,,
50,7,61,58.5,55.5,53,50.5,47.5,45,42,39,36.5,34,,,,
55,7.5,63.5,60.5,58,55,52,49.5,46.5,43.5,40.5,38,,,,,
60,8,65.5,62.5,59.5,57,54,51,48,45,42,39,,,,,
65,8.5,67.5,64.5,61.5,58.5,55.5,52.5,49.5,46.5,43.5,40.5,,,,,
70,9,69,66.5,63.5,60.5,57,54,51,48,45,41.5,,,,,
75,9.5,71,68,65,62,59,55.5,52.5,49,46,,,,,,
80,10,72.5,69.5,66.5,63.5,60,57,54,50.5,47,,,,,,
85,10.5,74.5,71.5,68,65,61.5,58.5,55,51.5,48,,,,,,
90,11,76,73,69.5,66.5,63,59.5,56,53,49,,,,,,
95,11,77.5,74.5,71,67.5,64.5,61,57,54,,,,,,,
100,11,79,76,72.5,69,65.5,62,58.5,55,,,,,,,
105,12,80.5,77,74,70.5,67,63,59.5,56,,,,,,,
110,12,82,78.5,75,71.5,68,64.5,60.5,57,,,,,,,
115,12,83.5,80,76.5,72.5,69,65.5,61.5,58,,,,,,,
120,12,85,81,77.5,74,70,66.5,62.5,59,,,,,,,
125,12,86,82.5,78.5,75,71,67.5,63.5,59.5,,,,,,,
