'Class',,'H6','H5,'H4','H3','H2','H1','1','2','3','4','5','6','7','9','10'
'Min Circumference at Top inch',,39,37,35,33,31,29,27,25,23,21,19,17,15,15,12
'Length of Pole feet','Ground-line Distance from Butt feet','Minimum Circumference at 6 feet from Butt,,,,,,,,,,,,,,
20,4,,,,,,,33.5,31.5,29.5,27,25,23,21.5,18.5,15
25,5,,,,,,,37,34.5,32.5,30,28,25.5,24,20.5,16.5
30,5.5,,,,,,,40,37.5,35,32.5,30,28,26,22,
35,6,,,,,,,42.5,40,37.5,34.5,32,30,27.5,,
40,6,,,,,,,45,42.5,39.5,36.5,34,31.5,,,
45,6.5,,,,,,,47.5,44.5,41.5,38.5,36,33,,,
50,7,,,,,,,49.5,46.5,43.5,40,37.5,,,,
55,7.5,,,,,,,51.5,48.5,45,42,,,,,
60,8,,,,,,,53.5,50,46.5,43.5,,,,,
65,8.5,,,,,,,55,51.5,48,45,,,,,
70,9,,,,,,,56.5,53,49.5,46,,,,,
75,9.5,,,,,,,58,54.5,51,,,,,,
80,10,,,,,,,59.5,56,52,,,,,,
85,10.5,,,,,,,61,57,53.5,,,,,,
90,11,,,,,,,62.5,58.5,54.5,,,,,,
95,11,,,,,,,63.5,59.5,,,,,,,
100,11,,,,,,,65,61,,,,,,,
105,12,,,,,,,66,62,,,,,,,
110,12,,,,,,,67.5,63,,,,,,,
115,12,,,,,,,68.5,64,,,,,,,
120,12,,,,,,,69.5,65,,,,,,,
125,12,,,,,,,70.5,66,,,,,,,
