'Class',,'H6','H5,'H4','H3','H2','H1','1','2','3','4','5','6','7','9','10'
'Min Circumference at Top inch',,39,37,35,33,31,29,27,25,23,21,19,17,15,15,12
'Length of Pole feet','Ground-line Distance from Butt feet','Minimum Circumference at 6 feet from Butt,,,,,,,,,,,,,,
20,4,,,,,,,32.5,30.5,28.5,26.5,24.5,22.5,21,18,14.5
25,5,,,,,,,36,33.5,31,29,27,25,23,20,15.5
30,5.5,,,,,,,39,36.5,34,31.5,29,27,25,21,
35,6,,,,,,,41.5,38.5,36,33.5,31,28.5,26.5,,
40,6,,,,,,,44,41,38,35.5,33,30.5,,,
45,6.5,,,,,,,46,43,40,37,34.5,32,,,
50,7,,,,,,,48,45,42,39,36,,,,
55,7.5,,,,,,,49.5,46.5,43.5,40.5,,,,,
60,8,,,,,,,51.5,48,45,42,,,,,
65,8.5,,,,,,,53,49.5,46,43,,,,,
70,9,,,,,,,54.5,51,47.5,44.5,,,,,
75,9.5,,,,,,,56,52.5,49,,,,,,
80,10,,,,,,,57.5,54,50.5,,,,,,
85,10.5,,,,,,,58.5,55,51.5,,,,,,
90,11,,,,,,,60,56.5,52.5,,,,,,
95,11,,,,,,,61.5,57.5,,,,,,,
100,11,,,,,,,62.5,58.5,,,,,,,
105,12,,,,,,,63.5,60,,,,,,,
110,12,,,,,,,65,61,,,,,,,
115,12,,,,,,,66,62,,,,,,,
120,12,,,,,,,67,63,,,,,,,
125,12,,,,,,,68,64,,,,,,,
