'Class',,'H6','H5,'H4','H3','H2','H1','1','2','3','4','5','6','7','9','10'
'Min Circumference at Top inch',,39,37,35,33,31,29,27,25,23,21,19,17,15,15,12
'Length of Pole feet','Ground-line Distance from Butt feet','Minimum Circumference at 6 feet from Butt,,,,,,,,,,,,,,
20,4,,,,,,,30,28.5,26.5,24.5,22.5,21,19,17,13.5
25,5,,,,,,,33,31,29,26.5,24.5,23,21,18.5,14.5
30,5.5,,,,,,,35.5,33.5,31,29,26.5,24.5,23,19.5,
35,6,,,,,43,40.5,38,35.5,33,31,28.5,26.5,24.5,,
40,6,,,50.5,48,45.5,43,40,37.5,35,32.5,30,28,,,
45,6.5,57.5,55,52.5,50,47.5,45,42,39.5,37,34,31.5,29,,,
50,7,60,57.5,55,52,49.5,47,44,41,38.5,35.5,33,,,,
55,7.5,62,59.5,57,54,51.5,48.5,45.5,42.5,40,37,,,,,
60,8,64.5,61.5,59,56,53,50,47,44,41,38.5,,,,,
65,8.5,66,63.5,60.5,57.5,55,52,48.5,46,42.5,39.5,,,,,
70,9,68,65,62.5,59.5,56.5,53.5,50,47,44,41,,,,,
75,9.5,70,67,64,61,58,54.5,51.5,48,45,,,,,,
80,10,71.5,68.5,65.5,62.5,59,56,52.5,49.5,46,,,,,,
85,10.5,73,70,67,64,60.5,57.5,54,50.5,47,,,,,,
90,11,74.5,71.5,68.5,65,62,58.5,55,51.5,48.5,,,,,,
95,11,76.5,73,70,66.5,63,60,56.5,53,,,,,,,
100,11,78,74.5,71,68,64.5,61,57.5,54,,,,,,,
105,12,79,76,72.5,69,65.5,62,58.5,55,,,,,,,
110,12,80.5,77,73.5,70,66.5,63,59.5,56,,,,,,,
115,12,82,78.5,75,71.5,68,64,60.5,57,,,,,,,
120,12,83,79.5,76,72.5,69,65,61.5,58,,,,,,,
125,12,84.5,81,77.5,73.5,70,66,62.5,58.5,,,,,,,
