'Class',,'H6','H5,'H4','H3','H2','H1','1','2','3','4','5','6','7','9','10'
'Min Circumference at Top inch',,39,37,35,33,31,29,27,25,23,21,19,17,15,15,12
'Length of Pole feet','Ground-line Distance from Butt feet','Minimum Circumference at 6 feet from Butt,,,,,,,,,,,,,,
20,4,,,,,,,33.5,31.5,29.5,27,25,23,21.5,18.5,15
25,5,,,,,,,37,34.5,32.5,30,28,25.5,24,20.5,16.5
30,5.5,,,,,,,40,37.5,35,32.5,30,28,26,22,
35,6,,,,,48,45.5,42.5,40,37.5,34.5,32,30,27.5,,
40,6,,,56.5,53.5,51,48,45,42.5,39.5,36.5,34,31.5,,,
45,6.5,64.5,62,59,56,53.5,50.5,47.5,44.5,41.5,38.5,36,33,,,
50,7,67,64.5,61.5,58.5,55.5,52.5,49.5,46.5,43.5,40,37.5,,,,
55,7.5,70,67,64,6163,57.5,54.5,51.5,48.5,45,42,,,,,
60,8,72,69,66,65,59.5,56.5,53.5,50,46.5,43.5,,,,,
65,8.5,74.5,71.5,68,67,61.5,58.5,55,51.5,48,45,,,,,
70,9,76.5,73.5,70,68.5,63.5,60,56.5,53,49.5,46,,,,,
75,9.5,78.5,75.5,72,70.5,65,60.5,58,54.5,51,,,,,,
80,10,80.5,77,74,72,67,63,59.5,56,52,,,,,,
85,10.5,82.5,79,75.5,73.5,68.5,64.5,61,57,53.5,,,,,,
90,11,84.5,81,77,75,70,66,62.5,58.5,54.5,,,,,,
95,11,86,82.5,79,76.5,71.5,67.5,63.5,59.5,,,,,,,
100,11,87.5,84,80.5,78,72.5,69,65,61,,,,,,,
105,12,89.5,85.5,82,79,74,70,66,62,,,,,,,
110,12,91,87,83.5,79.5,75.5,71.5,67.5,63,,,,,,,
115,12,92.5,88.5,84.5,80.5,76.5,72.5,68.5,64,,,,,,,
120,12,94,90,86,82,78,74,69.5,65,,,,,,,
125,12,95.5,91.5,87.5,83,79,75,70.5,66,,,,,,,
