'Class',,'H6','H5,'H4','H3','H2','H1','1','2','3','4','5','6','7','9','10'
'Min Circumference at Top inch',,39,37,35,33,31,29,27,25,23,21,19,17,15,15,12
'Length of Pole feet','Ground-line Distance from Butt feet','Minimum Circumference at 6 feet from Butt,,,,,,,,,,,,,,
20,4,,,,,,,31.5,29.5,27.5,25.5,23.5,22,20,17.5,14
25,5,,,,,,,34.5,32.5,30,28,26,24,22,19.5,15
30,5.5,,,,,,,37.5,35,32.5,30,28,26,24,20.5,
35,6,,,,,45,42.5,40,37.5,35,32,30,27.5,25.5,,
40,6,,,52.5,50,47.5,45,42,39.5,37,34,31.5,29,25.5,,
45,6.5,60,57.5,55,52.5,49.5,47,44,41.5,38.5,36,33,30.5,,,
50,7,62.5,60,57,54.5,51.5,49,46,43,40,37.5,34.5,,,,
55,7.5,65,62,59.5,56.5,53.5,50.5,47.5,44.5,41.5,39,,,,,
60,8,67,64,61.5,58.5,55.5,52.5,49.5,46,43,40,,,,,
65,8.5,69,66,63,60,57.5,54,51,47.5,44.5,41.5,,,,,
70,9,71,68,65,62,58.5,55.5,52.5,49,46,42.5,,,,,
75,9.5,73,69.5,66.5,63.5,60,57,53.5,50.5,47,,,,,,
80,10,74.5,71.5,68,65,61.5,58.5,55,51.5,48.5,,,,,,
85,10.5,76,73,70,66.5,63,59.5,56,53,49.5,,,,,,
90,11,78,74.5,71,68,64.5,61,57.5,54,50.5,,,,,,
95,11,79.5,76,72.5,69.5,66,62,58.5,55,,,,,,,
100,11,81,77.5,74,70.5,67,63.5,60,56,,,,,,,
105,12,82.5,79,75.5,72,68.5,64.5,61,57,,,,,,,
110,12,84,80.5,77,73,69.5,65.5,62,58,,,,,,,
115,12,85.5,81.5,78,74.5,70.5,67,63,59,,,,,,,
120,12,86.5,83,79.5,75.5,72,68,64,60,,,,,,,
125,12,88,84.5,80.5,76.5,73,69,65,61,,,,,,,
