CurveRef,CurveRefAlt1,CurveRefAlt2,CurveFile,CurveCoeff0,CurveCoeff1,CurveCoeff2,CurveCoeff3,CurveCoeff4,CurveCoeff5,CurveCoeff6,CurveEquation,CurveModifier,CurveAdjust
1-102,1,102,./curves/1-102.txt,,,,,,,,,1,1
2-135,2,135,./curves/2-135.txt,,,,,,,,,1,1
3-140,3,140,./curves/3-140.txt,,,,,,,,,1,1
4-106,4,106,./curves/4-106.txt,,,,,,,,,1,1
5-114,5,114,./curves/5-114.txt,,,,,,,,,1,1
6-136,6,136,./curves/6-136.txt,,,,,,,,,1,1
7-152,7,152,./curves/7-152.txt,,,,,,,,,1,1
8-113,8,113,./curves/8-113.txt,,,,,,,,,1,1
8P-111,8p,111,./curves/8p-111.txt,,,,,,,,,1,1
9-131,9,131,./curves/9-131.txt,,,,,,,,,1,1
11-141,11,141,./curves/11-141.txt,,,,,,,,,1,1
13-142,13,142,./curves/13-142.txt,,,,,,,,,1,1
14-119,14,119,./curves/14-119.txt,,,,,,,,,1,1
15-112,15,112,./curves/15-112.txt,,,,,,,,,1,1
16-139,16,139,./curves/16-139.txt,,,,,,,,,1,1
17-103,17,103,./curves/17-103.txt,,,,,,,,,1,1
18-151,18,151,./curves/18-151.txt,,,,,,,,,1,1
A-101,A,101,./curves/A-101.txt,,,,,,,,,1,1
B-117,B,117,./curves/B-117.txt,,,,,,,,,1,1
C-133,C,133,./curves/C-133.txt,,,,,,,,,1,1
D-116,D,116,./curves/D-116.txt,,,,,,,,,1,1
E-132,E,132,./curves/E-132.txt,,,,,,,,,1,1
F-163,F,163,./curves/F-163.txt,,,,,,,,,1,1
G-121,G,121,./curves/G-121.txt,,,,,,,,,1,1
H-122,H,122,./curves/H-122.txt,,,,,,,,,1,1
J-164,J,164,./curves/J-164.txt,,,,,,,,,1,1
KG-165,KG,165,./curves/KG-165.txt,,,,,,,,,1,1
KP-162,KP,162,./curves/KP-162.txt,,,,,,,,,1,1
L-107,L,107,./curves/L-107.txt,,,,,,,,,1,1
M-118,M,118,./curves/M-118.txt,,,,,,,,,1,1
N-104,N,104,./curves/N-104.txt,,,,,,,,,1,1
P-115,P,115,./curves/P-115.txt,,,,,,,,,1,1
R-105,R,105,./curves/R-105.txt,,,,,,,,,1,1
T-161,T,161,./curves/T-161.txt,,,,,,,,,1,1
V-137,V,137,./curves/V-137.txt,,,,,,,,,1,1
W-138,W,138,./curves/W-138.txt,,,,,,,,,1,1
Y-120,Y,120,./curves/Y-120.txt,,,,,,,,,1,1
Z-134,Z,134,./curves/Z-134.txt,,,,,,,,,1,1
6k,6K,,./curves/6k.txt,,,,,,,,,1,0
8k,8K,,./curves/8k.txt,,,,,,,,,1,0
10k,10K,,./curves/10k.txt,,,,,,,,,1,0
12k,12K,,./curves/12k.txt,,,,,,,,,1,0
15k,15K,,./curves/15k.txt,,,,,,,,,1,0
20k,20K,,./curves/20k.txt,,,,,,,,,1,0
25k,25K,,./curves/25k.txt,,,,,,,,,1,0
30k,30K,,./curves/30k.txt,,,,,,,,,1,0
40k,40K,,./curves/40k.txt,,,,,,,,,1,0
50k,50K,,./curves/50k.txt,,,,,,,,,1,0
65k,65K,,./curves/65k.txt,,,,,,,,,1,0
80k,80K,,./curves/80k.txt,,,,,,,,,1,0
100k,100K,,./curves/100k.txt,,,,,,,,,1,0
140k,140K,,./curves/140k.txt,,,,,,,,,1,0
200k,200K,,./curves/200k.txt,,,,,,,,,1,0
6T,6t,,./curves/6T.txt,,,,,,,,,1,0
8T,8t,,./curves/8T.txt,,,,,,,,,1,0
10T,10t,,./curves/10T.txt,,,,,,,,,1,0
12T,12t,,./curves/12T.txt,,,,,,,,,1,0
15T,15t,,./curves/15T.txt,,,,,,,,,1,0
20T,20t,,./curves/20T.txt,,,,,,,,,1,0
25T,25t,,./curves/25T.txt,,,,,,,,,1,0
30T,30t,,./curves/30T.txt,,,,,,,,,1,0
40T,40t,,./curves/40T.txt,,,,,,,,,1,0
50T,50t,,./curves/50T.txt,,,,,,,,,1,0
65T,65t,,./curves/65T.txt,,,,,,,,,1,0
80T,80t,,./curves/80T.txt,,,,,,,,,1,0
100T,100t,,./curves/100T.txt,,,,,,,,,1,0
140T,140t,,./curves/140T.txt,,,,,,,,,1,0
200T,200t,,./curves/200T.txt,,,,,,,,,1,0
1S,1s,,./curves/1s.txt,,,,,,,,,1,0
2S,2s,,./curves/2s.txt,,,,,,,,,1,0
3S,3s,,./curves/3s.txt,,,,,,,,,1,0
5S,5s,,./curves/5s.txt,,,,,,,,,1,0
7S,7s,,./curves/7s.txt,,,,,,,,,1,0
10S,10s,,./curves/10s.txt,,,,,,,,,1,0
15S,15s,,./curves/15s.txt,,,,,,,,,1,0
20S,20s,,./curves/20s.txt,,,,,,,,,1,0
25S,25s,,./curves/25s.txt,,,,,,,,,1,0
30S,30s,,./curves/30s.txt,,,,,,,,,1,0
40S,40s,,./curves/40s.txt,,,,,,,,,1,0
50S,50s,,./curves/50s.txt,,,,,,,,,1,0
65S,65s,,./curves/65s.txt,,,,,,,,,1,0
80S,80s,,./curves/80s.txt,,,,,,,,,1,0
100S,100s,,./curves/100s.txt,,,,,,,,,1,0
125S,125s,,./curves/125s.txt,,,,,,,,,1,0
150S,150s,,./curves/150s.txt,,,,,,,,,1,0
200S,200s,,./curves/200s.txt,,,,,,,,,1,0
15E-Slow,,,./curves/15E-Slow.txt,,,,,,,,,1,0
20E-Slow,,,./curves/20E-Slow.txt,,,,,,,,,1,0
25E-Slow,,,./curves/25E-Slow.txt,,,,,,,,,1,0
30E-Slow,,,./curves/30E-Slow.txt,,,,,,,,,1,0
40E-Slow,,,./curves/40E-Slow.txt,,,,,,,,,1,0
50E-Slow,,,./curves/50E-Slow.txt,,,,,,,,,1,0
65E-Slow,,,./curves/65E-Slow.txt,,,,,,,,,1,0
80E-Slow,,,./curves/80E-Slow.txt,,,,,,,,,1,0
100E-Slow,,,./curves/100E-Slow.txt,,,,,,,,,1,0
V1,9F54VxV1,,./curves/9F54VxV1.txt,,,,,,,,,1,0
V2,9F54VxV2,,./curves/9F54VxV2.txt,,,,,,,,,1,0
V3,9F54VxV3,,./curves/9F54VxV3.txt,,,,,,,,,1,0
V4,9F54VxV4,,./curves/9F54VxV4.txt,,,,,,,,,1,0
V5,9F54VxV5,,./curves/9F54VxV5.txt,,,,,,,,,1,0
V6,9F54VxV6,,./curves/9F54VxV6.txt,,,,,,,,,1,0
V7,9F54VxV7,,./curves/9F54VxV7.txt,,,,,,,,,1,0
V8,9F54VxV8,,./curves/9F54VxV8.txt,,,,,,,,,1,0
V9,9F54VxV9,,./curves/9F54VxV9.txt,,,,,,,,,1,0
V10,9F54VxV10,,./curves/9F54VxV10.txt,,,,,,,,,1,0
V11,9F54VxV11,,./curves/9F54VxV11.txt,,,,,,,,,1,0
V12,9F54VxV12,,./curves/9F54VxV12.txt,,,,,,,,,1,0
V13,9F54VxV13,,./curves/9F54VxV13.txt,,,,,,,,,1,0
V14,9F54VxV14,,./curves/9F54VxV14.txt,,,,,,,,,1,0
Amod0,,,./curves/A.txt,,,,,,,,,0.01,0
Amod1,,,./curves/Amod1.txt,,,,,,,,,0.01,0
Amod2,,,./curves/Amod2.txt,,,,,,,,,0.01,0
Amod3,,,./curves/Amod3.txt,,,,,,,,,0.01,0
Bmod0,,,./curves/B.txt,,,,,,,,,0.01,0
Bmod1,,,./curves/Bmod1.txt,,,,,,,,,0.01,0
Bmod2,,,./curves/Bmod2.txt,,,,,,,,,0.01,0
Bmod3,,,./curves/Bmod3.txt,,,,,,,,,0.01,0
Cmod0,,,./curves/C.txt,,,,,,,,,0.01,0
Cmod1,,,./curves/Cmod1.txt,,,,,,,,,0.01,0
Cmod2,,,./curves/Cmod2.txt,,,,,,,,,0.01,0
Cmod3,,,./curves/Cmod3.txt,,,,,,,,,0.01,0
Dmod0,,,./curves/D.txt,,,,,,,,,0.01,0
Dmod1,,,./curves/Dmod1.txt,,,,,,,,,0.01,0
Dmod2,,,./curves/Dmod2.txt,,,,,,,,,0.01,0
Dmod3,,,./curves/Dmod3.txt,,,,,,,,,0.01,0
Emod0,,,./curves/E.txt,,,,,,,,,0.01,0
Emod1,,,./curves/Emod1.txt,,,,,,,,,0.01,0
Emod2,,,./curves/Emod2.txt,,,,,,,,,0.01,0
Emod3,,,./curves/Emod3.txt,,,,,,,,,0.01,0
Fmod0,,,./curves/F.txt,,,,,,,,,0.01,0
Fmod1,,,./curves/Fmod1.txt,,,,,,,,,0.01,0
Fmod2,,,./curves/Fmod2.txt,,,,,,,,,0.01,0
Fmod3,,,./curves/Fmod3.txt,,,,,,,,,0.01,0
EFmod0,,,./curves/EF.txt,,,,,,,,,0.01,0
EFmod1,,,./curves/EFmod1.txt,,,,,,,,,0.01,0
EFmod2,,,./curves/EFmod2.txt,,,,,,,,,0.01,0
EFmod3,,,./curves/EFmod3.txt,,,,,,,,,0.01,0
KFmod0,,,./curves/KF.txt,,,,,,,,,0.01,0
KFmod1,,,./curves/KFmod1.txt,,,,,,,,,0.01,0
KFmod2,,,./curves/KFmod2.txt,,,,,,,,,0.01,0
KFmod3,,,./curves/KFmod3.txt,,,,,,,,,0.01,0
Nmod0,,,./curves/N.txt,,,,,,,,,0.01,0
Nmod1,,,./curves/Nmod1.txt,,,,,,,,,0.01,0
Nmod2,,,./curves/Nmod2.txt,,,,,,,,,0.01,0
Nmod3,,,./curves/Nmod3.txt,,,,,,,,,0.01,0
Rmod0,,,./curves/R.txt,,,,,,,,,0.01,0
Rmod1,,,./curves/Rmod1.txt,,,,,,,,,0.01,0
Rmod2,,,./curves/Rmod2.txt,,,,,,,,,0.01,0
Rmod3,,,./curves/Rmod3.txt,,,,,,,,,0.01,0
TFmod0,,,./curves/TF.txt,,,,,,,,,0.01,0
TFmod1,,,./curves/TFmod1.txt,,,,,,,,,0.01,0
TFmod2,,,./curves/TFmod2.txt,,,,,,,,,0.01,0
TFmod3,,,./curves/TFmod3.txt,,,,,,,,,0.01,0
A_H,A-H,,./curves/H-3H-5A.txt,,,,,,,,,1,1
B_H,B-H,,./curves/H-3H-5B.txt,,,,,,,,,1,1
C_H,C-H,,./curves/H-3H-5C.txt,,,,,,,,,1,1
A_4H,A-4H,,./curves/4H-6H-5A.txt,,,,,,,,,1,1
B_4H,B-4H,,./curves/4H-6H-5B.txt,,,,,,,,,1,1
C_4H,C-4H,,./curves/4H-6H-5C.txt,,,,,,,,,1,1
A_L,A-L,,./curves/L-25A.txt,,,,,,,,,1,1
B_L,B-L,,./curves/L-25B.txt,,,,,,,,,1,1
C_L,C-L,,./curves/L-25C.txt,,,,,,,,,1,1
D_L,D-L,,./curves/L-25D.txt,,,,,,,,,1,1
def1a1s,,,./curves/def1a1s.txt,,,,,,,,,1,1
U1,,,,0.0226,0.0104,0.02,1,0,0,0,0,1,1
U2,,,,0.18,5.95,2,1,0,0,0,0,1,1
U3,,,,0.0963,3.88,2,1,0,0,0,0,1,1
U4,,,,0.0352,5.67,2,1,0,0,0,0,1,1
U5,,,,0.00262,0.00342,0.02,1,0,0,0,0,1,1
