Name,Size,Diameter,Core Diameter,Weight,Core Rated Strength,Conductor Rated Strength,DC Ohms 20,AC Ohms 25,AC Ohms 75,AC Ohms 180,Ampacity,,
,kcmil,in,in,lb/kft,lbf,lbf,ohm/mile,ohm/mile,ohm/mile,ohm/mile,75,180,200
SILVASSA,242,0.565,0.235,264,13400,15000,0.3679,0.3758,0.4498,0.6053,423,705,741
HELSINKI,297,0.616,0.235,315,13400,15300,0.2997,0.3061,0.3664,0.4931,479,802,843
JAIPUR,307,0.65,0.305,351,22700,24700,0.2898,0.2959,0.3543,0.477,494,829,871
ZADAR,350,0.673,0.28,379,19100,21300,0.2536,0.2593,0.3103,0.4174,533,895,942
ROVINJ,371,0.673,0.235,386,13400,15800,0.2393,0.2446,0.2927,0.3938,548,922,969
COPENHAGEN,434,0.72,0.235,443,13400,16200,0.2047,0.2094,0.2506,0.337,603,1017,1070
REYKJAVIK,440,0.741,0.28,465,19100,21900,0.2021,0.2067,0.2474,0.3327,612,1032,1087
GDANSK,491,0.756,0.235,498,13400,16600,0.1812,0.1856,0.222,0.2984,649,1097,1155
MONTE CARLO,451,0.818,0.415,537,41800,44700,0.1979,0.2023,0.2421,0.3257,634,1076,1133
GLASGOW,467,0.769,0.305,499,22700,25700,0.1905,0.1949,0.2332,0.3136,636,1076,1132
CASABLANCA,540,0.807,0.28,559,19100,22600,0.1648,0.1688,0.2019,0.2714,692,1174,1236
OSLO,619,0.882,0.345,659,29000,33000,0.1437,0.1473,0.1762,0.2367,759,1292,1361
LISBON,623,0.858,0.28,636,19100,23100,0.1427,0.1464,0.1751,0.2352,755,1285,1353
AMSTERDAM,725,0.927,0.305,742,22700,27400,0.1226,0.1261,0.1507,0.2022,831,1419,1496
CORDOBA,788,0.961,0.305,800,22700,27800,0.1127,0.1165,0.139,0.1864,873,1495,1576
LEIPZIG,802,0.99,0.375,845,34100,39200,0.111,0.1143,0.1365,0.1831,888,1522,1605
BRUSSELS,832,0.99,0.32,849,24900,30200,0.1072,0.1105,0.1319,0.1769,903,1549,1633
STOCKHOLM 3L,895,1.039,0.345,919,29000,34700,0.0993,0.1025,0.1223,0.1639,950,1634,1723
STOCKHOLM 2L,914,1.039,0.345,937,29000,34900,0.0974,0.1006,0.12,0.1608,959,1650,1740
WARSAW,1002,1.091,0.345,1021,29000,35400,0.089,0.0922,0.1099,0.1471,1015,1751,1848
DUBLIN,1035,1.108,0.375,1065,34100,40700,0.0859,0.0891,0.1061,0.142,1037,1791,1889
KOLKATA,1073,1.127,0.375,1105,34100,41000,0.0832,0.0863,0.1029,0.1376,1059,1829,1931
MAHAKAM,1075,1.142,0.415,1122,41800,48700,0.0827,0.0863,0.1027,0.1371,1063,1840,1942
HAMBURG,1078,1.127,0.345,1093,29000,35900,0.0827,0.086,0.1024,0.1368,1061,1834,1936
MILAN,1120,1.146,0.345,1133,29000,36200,0.0795,0.0828,0.0985,0.1316,1086,1880,1985
ROME,1169,1.177,0.375,1193,34100,41600,0.0763,0.0795,0.0946,0.1263,1117,1936,2044
VIENNA,1242,1.198,0.345,1245,29000,37000,0.0716,0.075,0.0891,0.1187,1156,2008,2120
BUDAPEST,1319,1.24,0.375,1334,34100,42600,0.0676,0.0709,0.0842,0.1122,1200,2089,2206
MUMBAI,1353,1.251,0.375,1368,34100,42800,0.066,0.0693,0.0823,0.1095,1217,2119,2239
PRAGUE,1363,1.251,0.345,1364,29000,37700,0.0655,0.069,0.0818,0.1088,1220,2126,2246
MUNICH,1447,1.293,0.375,1459,34100,43400,0.0618,0.0652,0.0773,0.1028,1266,2211,2337
WARWICK,1479,1.315,0.415,1507,41800,51300,0.0604,0.0636,0.0755,0.1005,1287,2248,2375
LONDON,1498,1.315,0.385,1509,36000,45600,0.0595,0.063,0.0746,0.0991,1294,2264,2393
PARIS,1606,1.345,0.345,1590,29000,39300,0.0555,0.0593,0.07,0.0927,1344,2358,2493
BORDEAUX,1739,1.408,0.415,1749,41800,52900,0.0512,0.0547,0.0647,0.0856,1416,2489,2632
ANTWERP,1865,1.451,0.385,1853,36000,48000,0.0478,0.0517,0.0609,0.0802,1471,2598,2749
BERLIN,1986,1.504,0.415,1982,41800,54500,0.0447,0.0487,0.0572,0.0752,1532,2714,2873
MADRID,1999,1.504,0.385,1979,36000,48800,0.0444,0.0485,0.057,0.0748,1535,2722,2881
ATHENS,2782,1.762,0.415,2732,41800,59600,0.032,0.0371,0.0429,0.0552,1844,3336,3539
