name,size,strands,diameter,weight,strength,gmr,current,DCohms,ACohms
Flicker,477,18/7,0.094,612,13000,0.0259,1279,0.0347,0.0356
Hawk,477,18/7,0.1053,655,15600,0.0266,1289,0.0346,0.0354
Parakeet,556.5,18/7,0.1015,714,15200,0.0279,1415,0.0297,0.0305
Dove,556.5,20/7,0.1138,764,18200,0.0287,1427,0.0296,0.0304
Rook,636,18/7,0.1085,816,17300,0.0298,1544,0.026,0.0268
Grosbeak,636,20/7,0.1216,873,20700,0.0307,1557,0.0259,0.0267
Tern,795,17/7,0.0888,892,14200,0.0315,1762,0.0209,0.0217
Puffin,795,21/7,0.1108,974,18900,0.0327,1778,0.0209,0.0216
Condor,795,21/7,0.1213,1020,21700,0.0333,1789,0.0208,0.0215
Drake,795,20/7,0.136,1091,25900,0.0342,1803,0.0207,0.0214
Phoenix,954,30/7,0.0837,1028,14200,0.0343,1940,0.0176,0.0184
Rail,954,32/7,0.0971,1074,16700,0.035,1953,0.0175,0.0183
Cardinal,954,20/7,0.1329,1224,26000,0.0364,2016,0.0173,0.018
Snowbird,1033.5,30/7,0.0871,1114,15400,0.0357,2048,0.0162,0.017
Ortolan,1033.5,33/7,0.101,1163,18100,0.0364,2058,0.0162,0.017
Curlew,1033.5,21/7,0.1383,1326,28200,0.0379,2126,0.016,0.0167
Avocet,1113,30/7,0.0904,1199,16300,0.037,2150,0.015,0.0159
Bluejay,1113,33/7,0.1049,1253,19500,0.0377,2161,0.015,0.0158
Finch,1113,39/19,0.0862,1427,30400,0.0399,2196,0.015,0.0156
Oxbird,1192.5,30/7,0.0936,1285,17500,0.0382,2249,0.014,0.0149
Bunting,1192.5,33/7,0.1086,1343,20900,0.039,2261,0.014,0.0148
Grackle,1192.5,39/19,0.0892,1529,32600,0.0412,2298,0.014,0.0147
Scissortail,1272,30/7,0.0967,1371,18700,0.0394,2346,0.0132,0.014
Bittern,1272,33/7,0.1121,1432,22300,0.0402,2360,0.0131,0.014
Pheasant,1272,39/19,0.0921,1630,34100,0.0424,2398,0.0131,0.0138
Dipper,1351.5,33/7,0.1155,1521,23700,0.0414,2455,0.0124,0.0132
Martin,1351.5,39/19,0.0949,1732,36200,0.0437,2494,0.0123,0.013
Bobolink,1431,33/7,0.1189,1611,25100,0.0427,2549,0.0117,0.0125
Plover,1431,39/19,0.0977,1834,38400,0.045,2590,0.0116,0.0124
Lapwing,1590,36/7,0.1253,1790,27900,0.045,2730,0.0105,0.0114
Falcon,1590,39/19,0.103,2038,42600,0.0473,2777,0.0105,0.0112
Chukar,1780,38/19,0.0874,2061,35300,0.0482,2952,0.0094,0.0103
Bluebird,2156,64/19,0.0961,2512,42100,0.0538,3396,0.0078,0.0088
