name,size,strands,diameter,weight,strength,gmr,current,DCohms,ACohms
350-E,350,19,0.788,1403,31474,0.022,660,0.034,0.039
350-EK,350,19,0.735,1238,23141,0.0245,680,0.034,0.036
300-E,300,19,0.729,1203,26974,0.0204,600,0.04,0.045
300-EK,300,19,0.68,1061,20338,0.0227,610,0.04,0.041
250-E,250,19,0.666,1002,23226,0.01859,540,0.048,0.053
250-EK,250,19,0.621,884.2,17302,0.0207,540,0.048,0.049
4/0-E,4/0,19,0.613,848.3,20114,0.01711,480,0.057,0.062
4/0-EK,4/0,19,0.571,748.4,14881,0.01903,490,0.057,0.058
4/0-F,4/0,7,0.55,710.2,11593,0.01558,470,0.057,0.061
2/0-K,2/0,7,0.534,645.9,17071,0.00912,360,0.09,0.101
2/0-J,2/0,7,0.494,560.6,13420,0.01029,350,0.09,0.1
2/0-F,2/0,7,0.436,446.8,7686,0.01235,350,0.09,0.095
1/0-K,1/0,7,0.475,512,14064,0.00812,310,0.113,0.126
1/0-J,1/0,7,0.44,444.3,10640,0.00917,310,0.113,0.125
1/0-F,1/0,7,0.388,354.1,6252,0.01099,310,0.113,0.119
1-K,1,7,0.423,406.2,11554,0.00723,270,0.143,0.158
1-J,1,7,0.392,352.2,8735,0.00817,270,0.136,0.155
1-F,1,7,0.346,280.9,5067,0.0098,270,0.143,0.149
2-K,2,7,0.377,322.1,9439,0.00644,240,0.18,0.195
2-J,2,7,0.349,279.5,7107,0.00727,230,0.18,0.194
2-A,2,3,0.366,265.8,5703,0.00763,240,0.18,0.185
2-F,2,7,0.308,222.8,4070,0.00873,230,0.18,0.192
4-D,4,3,0.348,225.5,7120,0.00566,190,0.286,0.292
4-A,4,3,0.29,161.5,3809,0.00604,180,0.286,0.293
6-D,6,3,0.276,141.8,4796,0.00449,140,0.455,0.462
6-A,6,3,0.23,101.6,2499,0.00479,140,0.455,0.462
6-C,6,3,0.225,97.34,2072,0.00469,130,0.455,0.462
8-D,8,3,0.219,89.24,3160,0.00356,110,0.723,0.731
8-A,8,3,0.199,74.28,2211,0.00394,100,0.723,0.733
8-C,8,3,0.179,60.67,1214,0.00373,100,0.723,0.731
