name,size,strands,diameter,weight,strength,gmr,current,DCohms,ACohms
Copperclad 19#4,19#4,19,1.022,2346.4,65264,,,0.0442,0.0442
Copperclad 19#5,19#5,19,0.91,1860.1,53893,,,0.0558,0.0558
Copperclad 19#6,19#6,19,0.81,1475.3,44456,,,0.0703,0.0703
Copperclad 19#7,19#7,19,0.722,1170.6,36629,,,0.0886,0.0886
Copperclad 19#8,19#8,19,0.643,928.3,30123,,,0.1118,0.1118
Copperclad 19#9,19#9,19,0.572,735.7,24727,,,0.141,0.141
Copperclad 4/0,4/0,19,0.528,625.7,21030,,,0.1658,0.1658
Copperclad 19#10,19#10,19,0.51,583.7,20431,,,0.1777,0.1777
Copperclad 7#4,7#4,7,0.613,861,24045,,,0.1195,0.1195
Copperclad 7#5,7#5,7,0.546,682.6,19855,,,0.1508,0.1508
Copperclad 7#6,7#6,7,0.486,541.4,16379,,,0.1901,0.1901
Copperclad 7#7,7#7,7,0.433,429.6,13495,,,0.2396,0.2396
Copperclad 2/0,2/0,7,0.414,392.3,12324,,,0.2624,0.2624
Copperclad 7#8,7#8,7,0.386,340.6,11098,,,0.3021,0.3021
Copperclad 1/0,1/0,7,0.368,311.1,10135,,,0.3308,0.3308
Copperclad 7#9,7#9,7,0.343,270,9110,,,0.3812,0.3812
Copperclad 7#10,7#10,7,0.306,214.2,7527,,,0.4805,0.4805
Copperclad 3#4,3#4,3,0.44,368.3,10877,,,0.2784,0.2784
Copperclad 3#5,3#5,3,0.392,292,8982,,,0.3511,0.3511
Copperclad 3#6,3#6,3,0.349,231.6,7409,,,0.4427,0.4427
Copperclad 3#7,3#7,3,0.311,183.7,6105,,,0.558,0.558
Copperclad 3#8,3#8,3,0.277,145.7,5020,,,0.7036,0.7036
Copperclad 3#9,3#9,3,0.247,115.5,4121,,,0.8877,0.8877
Copperclad 3#10,3#10,3,0.22,91.6,3405,,,1.1189,1.1189
Copperclad #2 AWG,#2 AWG,7,0.258,152.6,5416,,,0.6746,0.6746
Copperclad #4 AWG,#4 AWG,7,0.204,95.4,2691,,,1.079,1.079
Copperclad #2 AWG,#2 AWG,1,0.258,193.7,6069,,,0.521,0.521
Copperclad #4 AWG,#4 AWG,1,0.204,121.8,3817,,,0.8284,0.8284
Copperclad #6 AWG,#6 AWG,1,0.162,76.6,2600,,,1.3172,1.3172
Copperclad #8 AWG,#8 AWG,1,0.129,48.2,1762,,,2.0941,2.0941
Copperclad #9 AWG,#9 AWG,1,0.114,38.2,1446,,,2.6421,2.6421
Copperclad #10 AWG,#10 AWG,1,0.102,30.3,1195,,,3.3301,3.3301
