name,size,strands,diameter,weight,strength,gmr,current,DCohms,ACohms
Copperclad 19#4,19#4,19,1.022,2251.7,21755,,,0.0338,0.0338
Copperclad 19#5,19#5,19,0.91,1785,17246,,,0.0427,0.0427
Copperclad 19#6,19#6,19,0.81,1415.8,13679,,,0.0538,0.0538
Copperclad 19#7,19#7,19,0.722,1123.3,10853,,,0.0678,0.0678
Copperclad 19#8,19#8,19,0.643,890.8,8606,,,0.0855,0.0855
Copperclad 19#9,19#9,19,0.572,706,6821,,,0.1079,0.1079
Copperclad 4/0,4/0,19,0.528,600.4,5801,,,0.1268,0.1268
Copperclad 19#10,19#10,19,0.51,560.2,5412,,,0.1359,0.1359
Copperclad 7#4,7#4,7,0.613,826.3,8015,,,0.0914,0.0914
Copperclad 7#5,7#5,7,0.546,655,6354,,,0.1153,0.1153
Copperclad 7#6,7#6,7,0.486,519.6,5040,,,0.1454,0.1454
Copperclad 7#7,7#7,7,0.433,412.2,3998,,,0.1833,0.1833
Copperclad 2/0,2/0,7,0.414,376.5,3652,,,0.2007,0.2007
Copperclad 7#8,7#8,7,0.386,326.9,3171,,,0.2311,0.2311
Copperclad 1/0,1/0,7,0.368,298.5,2896,,,0.2531,0.2531
Copperclad 7#9,7#9,7,0.343,259.1,2513,,,0.2916,0.2916
Copperclad 7#10,7#10,7,0.306,205.6,1994,,,0.3675,0.3675
Copperclad 3#4,3#4,3,0.44,353.4,3626,,,0.2129,0.2129
Copperclad 3#5,3#5,3,0.392,280.2,2874,,,0.2686,0.2686
Copperclad 3#6,3#6,3,0.349,222.2,2280,,,0.3386,0.3386
Copperclad 3#7,3#7,3,0.311,176.3,1809,,,0.4268,0.4268
Copperclad 3#8,3#8,3,0.277,139.8,1434,,,0.5382,0.5382
Copperclad 3#9,3#9,3,0.247,110.8,1137,,,0.6791,0.6791
Copperclad 3#10,3#10,3,0.22,87.9,902,,,0.8559,0.8559
Copperclad #2 AWG,#2 AWG,7,0.258,146.4,1435,,,0.516,0.516
Copperclad #4 AWG,#4 AWG,7,0.204,91.5,897,,,0.8253,0.8253
Copperclad #2 AWG,#2 AWG,1,0.258,185.8,2023,,,0.3985,0.3985
Copperclad #4 AWG,#4 AWG,1,0.204,116.9,1272,,,0.6337,0.6337
Copperclad #6 AWG,#6 AWG,1,0.162,73.5,800,,,1.0076,1.0076
Copperclad #8 AWG,#8 AWG,1,0.129,46.2,503,,,1.6018,1.6018
Copperclad #9 AWG,#9 AWG,1,0.114,36.6,399,,,2.021,2.021
Copperclad #10 AWG,#10 AWG,1,0.102,29.1,316,,,2.5473,2.5473
