name,size,strands,diameter,weight,strength
2003-6x19,16M,6x19,1.115,501,18000
2003-12x19,16M,12x19,1.245,567,18000
2003-25x19,16M,25x19,1.415,709,18000
2003-6x22,16M,6x22,1.025,464,18000
2003-12x22,16M,12x22,1.115,501,18000
2003-25x22,16M,25x22,1.255,573,18000
2003-50x22,16M,50x22,1.525,707,18000
2003-6x24,16M,6x24,0.995,450,18000
2003-12x24,16M,12x24,1.055,473,18000
2003-25x24,16M,25x24,1.165,521,18000
2003-50x24,16M,50x24,1.295,608,18000
2003-100x24,16M,100x24,1.505,784,18000
2003-200x24,16M,200x24,1.805,1119,18000
2003-300x24,16M,300x24,2.025,1459,18000
2003-400x24,16M,400x24,2.225,1774,18000
2101-50x19,16M,50x19,1.725,981,18000
2101-100x19,16M,100x19,2.125,1479,18000
2101-200x19,16M,200x19,2.525,2486,18000
2101-300x19,16M,300x19,3.025,3498,18000
2101-25x22,16M,25x22,1.235,568,18000
2101-50x22,16M,50x22,1.415,704,18000
2101-100x22,16M,100x22,1.725,976,18000
2101-200x22,16M,200x22,2.125,1485,18000
2101-300x22,16M,300x22,2.325,1983,18000
2101-400x22,16M,400x22,2.525,2500,18000
2101-600x22,16M,600x22,2.925,3539,18000
2101-900x22,16M,900x22,3.425,5047,18000
2101-25x24,16M,25x24,1.175,523,18000
2101-50x24,16M,50x24,1.275,607,18000
2101-100x24,16M,100x24,1.485,777,18000
2101-200x24,16M,200x24,1.725,1115,18000
2101-300x24,16M,300x24,2.025,1433,18000
2101-400x24,16M,400x24,2.125,1749,18000
2101-600x24,16M,600x24,2.405,2436,18000
2101-900x24,16M,900x24,2.825,3381,18000
2101-1200x24,16M,1200x24,3.125,4361,18000
2101-1500x24,16M,1500x24,3.395,5293,18000
2101-1800x24,16M,1800x24,3.725,6288,18000
2101-400x26,16M,400x26,1.925,1285,18000
2101-600x26,16M,600x26,2.125,1716,18000
2101-900x26,16M,900x26,2.425,2333,18000
2101-1200x26,16M,1200x26,2.675,2939,18000
2101-1500x26,16M,1500x26,2.925,3554,18000
2101-1800x26,16M,1800x26,3.125,4155,18000
2101-2100x26,16M,2100x26,3.325,4781,18000
2107-25x19,16M,25x19,1.605,839,18000
2107-50x19,16M,50x19,1.835,1149,18000
2107-100x19,16M,100x19,2.245,1764,18000
2107-200x19,16M,200x19,2.725,2874,18000
2107-300x19,16M,300x19,3.215,3929,18000
2107-25x22,16M,25x22,1.385,679,18000
2107-50x22,16M,50x22,1.585,844,18000
2107-100x22,16M,100x22,1.825,1149,18000
2107-200x22,16M,200x22,2.225,1759,18000
2107-300x22,16M,300x22,2.425,2292,18000
2107-400x22,16M,400x22,2.725,2889,18000
2107-600x22,16M,600x22,3.125,3981,18000
2107-900x22,16M,900x22,3.625,5664,18000
2107-25x24,16M,25x24,1.305,619,18000
2107-50x24,16M,50x24,1.435,724,18000
2107-100x24,16M,100x24,1.625,929,18000
2107-200x24,16M,200x24,1.925,1299,18000
2107-300x24,16M,300x24,2.125,1669,18000
2107-400x24,16M,400x24,2.305,2034,18000
2107-600x24,16M,600x24,2.625,2738,18000
2107-900x24,16M,900x24,3.025,3823,18000
2107-1200x24,16M,1200x24,3.325,4817,18000
2107-1500x24,16M,1500x24,3.645,5821,18000
2107-1800x24,16M,1800x24,3.925,6979,18000
2107-400x26,16M,400x26,2.025,1509,18000
2107-600x26,16M,600x26,2.325,1953,18000
2107-900x26,16M,900x26,2.675,2636,18000
2107-1200x26,16M,1200x26,2.925,3322,18000
2107-1500x26,16M,1500x26,3.135,3955,18000
2107-1800x26,16M,1800x26,3.305,4604,18000
2107-2100x26,16M,2100x26,3.455,5226,18000
