name,size,strands,diameter,weight,strength
2003-6x19,OverLash,6x19,0.865,102,100
2003-12x19,OverLash,12x19,0.995,168,100
2003-25x19,OverLash,25x19,1.165,310,100
2003-6x22,OverLash,6x22,0.775,65,100
2003-12x22,OverLash,12x22,0.865,102,100
2003-25x22,OverLash,25x22,1.005,174,100
2003-50x22,OverLash,50x22,1.275,308,100
2003-6x24,OverLash,6x24,0.745,51,100
2003-12x24,OverLash,12x24,0.805,74,100
2003-25x24,OverLash,25x24,0.915,122,100
2003-50x24,OverLash,50x24,1.045,209,100
2003-100x24,OverLash,100x24,1.255,385,100
2003-200x24,OverLash,200x24,1.555,720,100
2003-300x24,OverLash,300x24,1.775,1060,100
2003-400x24,OverLash,400x24,1.975,1375,100
2101-50x19,OverLash,50x19,1.475,582,100
2101-100x19,OverLash,100x19,1.875,1080,100
2101-200x19,OverLash,200x19,2.275,2087,100
2101-300x19,OverLash,300x19,2.775,3099,100
2101-25x22,OverLash,25x22,0.985,169,100
2101-50x22,OverLash,50x22,1.165,305,100
2101-100x22,OverLash,100x22,1.475,577,100
2101-200x22,OverLash,200x22,1.875,1086,100
2101-300x22,OverLash,300x22,2.075,1584,100
2101-400x22,OverLash,400x22,2.275,2101,100
2101-600x22,OverLash,600x22,2.675,3140,100
2101-900x22,OverLash,900x22,3.175,4648,100
2101-25x24,OverLash,25x24,0.925,124,100
2101-50x24,OverLash,50x24,1.025,208,100
2101-100x24,OverLash,100x24,1.235,378,100
2101-200x24,OverLash,200x24,1.475,716,100
2101-300x24,OverLash,300x24,1.775,1034,100
2101-400x24,OverLash,400x24,1.875,1350,100
2101-600x24,OverLash,600x24,2.155,2037,100
2101-900x24,OverLash,900x24,2.575,2982,100
2101-1200x24,OverLash,1200x24,2.875,3962,100
2101-1500x24,OverLash,1500x24,3.145,4894,100
2101-1800x24,OverLash,1800x24,3.475,5889,100
2101-400x26,OverLash,400x26,1.675,886,100
2101-600x26,OverLash,600x26,1.875,1317,100
2101-900x26,OverLash,900x26,2.175,1934,100
2101-1200x26,OverLash,1200x26,2.425,2540,100
2101-1500x26,OverLash,1500x26,2.675,3155,100
2101-1800x26,OverLash,1800x26,2.875,3756,100
2101-2100x26,OverLash,2100x26,3.075,4382,100
2107-25x19,OverLash,25x19,1.355,440,100
2107-50x19,OverLash,50x19,1.585,750,100
2107-100x19,OverLash,100x19,1.995,1365,100
2107-200x19,OverLash,200x19,2.475,2475,100
2107-300x19,OverLash,300x19,2.965,3530,100
2107-25x22,OverLash,25x22,1.135,280,100
2107-50x22,OverLash,50x22,1.335,445,100
2107-100x22,OverLash,100x22,1.575,750,100
2107-200x22,OverLash,200x22,1.975,1360,100
2107-300x22,OverLash,300x22,2.175,1893,100
2107-400x22,OverLash,400x22,2.475,2490,100
2107-600x22,OverLash,600x22,2.875,3582,100
2107-900x22,OverLash,900x22,3.375,5265,100
2107-25x24,OverLash,25x24,1.055,220,100
2107-50x24,OverLash,50x24,1.185,325,100
2107-100x24,OverLash,100x24,1.375,530,100
2107-200x24,OverLash,200x24,1.675,900,100
2107-300x24,OverLash,300x24,1.875,1270,100
2107-400x24,OverLash,400x24,2.055,1635,100
2107-600x24,OverLash,600x24,2.375,2339,100
2107-900x24,OverLash,900x24,2.775,3424,100
2107-1200x24,OverLash,1200x24,3.075,4418,100
2107-1500x24,OverLash,1500x24,3.395,5422,100
2107-1800x24,OverLash,1800x24,3.675,6580,100
2107-400x26,OverLash,400x26,1.775,1110,100
2107-600x26,OverLash,600x26,2.075,1554,100
2107-900x26,OverLash,900x26,2.425,2237,100
2107-1200x26,OverLash,1200x26,2.675,2923,100
2107-1500x26,OverLash,1500x26,2.885,3556,100
2107-1800x26,OverLash,1800x26,3.055,4205,100
2107-2100x26,OverLash,2100x26,3.205,4827,100
