Name,Phase1Radius,Phase1X,Phase1Hin,Phase1Hout,NeutralRadius,NeutralX,NeutralHin,NeutralHout,GuyRadius,GuyX,GuyH1,GuyH2,GuyH3,GuyH4
"VA1.1,VA2.1",0,0,10,10,1,2,-42,-42,1,0,-27,,,
"VA1.2,VA2.2",0,0,10,10,1,15,-42,-42,1,0,-27,,,
"VA1.1P,VA2.1P",0,0,14,14,1,2,-42,-42,1,0,-27,,,
"VA1.2P,VA2.2P",0,0,14,14,1,15,-42,-42,1,0,-27,,,
VA1.3,0,0,10,10,1,3,-42,-42,1,0,-27,,,
VA1.3P,0,0,14,14,1,3,-42,-42,1,0,-27,,,
VA1.11,0,-44,-6,-6,0,44,-8,-8,1,0,-27,,,
VA1.11P,0,-44,-2,-2,0,44,-8,-8,1,0,-27,,,
"VA3.1,VA5.1,VA5.2,VA6.1,VA6.2",0,0,-6,-6,0,0,-54,-54,1,0,-24,,,
VA3.2,0,0,-6,-6,0,0,-54,-54,1,0,-24,,,
VA4.1,0,0,-12,-9,0,0,-60,-54,1,0,-30,-24,,
VA4.2,0,0,-15,-6,0,0,-63,-57,1,0,-33,-24,,
"VA5.21,VA5.31,VA6.21,VA6.22",0,-42,-18,-18,0,42,-18,-18,1,0,-27,,,
