StudyPoleTag,PoleTag,PoleNumber,Assembly,AssemblyHeight,ConductorType,ConductorName,NormAngle,Span,Tension,TAmb,TRise,GMR,DCOhmsCalc,ACOhmsCalc,GMRCalc,OhmsCalc,CurrentCalc,LineType,AB,BC,CA,AN,BN,CN,Z0real,Z0imag,Z1real,Z1imag
01290,01290,0,B6.21,0.0,CopperweldCopper,4-A,-0.83841845007984,131.0,1324.0,25,50,0.00604,0.286,0.293,0.00604,1.5470399999999997,163.244057706781,2.0,3.0,,,4.6097722286464435,4.6097722286464435,,257.7404560183006,239.30879163891063,179.0626506800616,198.43310389901757
01290,01290,1,B6.21,0.0,CopperweldCopper,4-A,-0.83841845007984,131.0,1324.0,25,50,0.00604,0.286,0.293,0.00604,1.5470399999999997,163.244057706781,2.0,3.0,,,4.6097722286464435,4.6097722286464435,,,,,
01290,01290,2,B6.21,0.0,CopperweldCopper,8-D,-0.83841845007984,131.0,1067.0,25,50,0.00356,0.723,0.731,0.00356,3.85968,90.25172546315346,2.0,3.0,,,4.6097722286464435,4.6097722286464435,,,,,
01290,24290,0,B6.21,0.0,Copperweld,Copperweld 3#8,-0.66278248542933,1127.0,2835.0,25,50,0.00439,3.44,3.51,0.00439,18.532799999999998,43.443715951068164,2.0,3.0,,,4.6097722286464435,4.6097722286464435,,2460.887087320418,263.94236851114744,2390.229831627289,198.8744706032793
01290,24290,1,B6.21,0.0,Copperweld,Copperweld 3#8,-0.66278248542933,1127.0,2835.0,25,50,0.00439,3.44,3.51,0.00439,18.532799999999998,43.443715951068164,2.0,3.0,,,4.6097722286464435,4.6097722286464435,,,,,
01290,24290,2,B6.21,0.0,Copperweld,Copperweld 3#8,-0.66278248542933,1127.0,2835.0,25,50,0.00439,3.44,3.51,0.00439,18.532799999999998,43.443715951068164,2.0,3.0,,,4.6097722286464435,4.6097722286464435,,,,,
01290,01294,0,B6.21,0.0,CopperweldCopper,4-A,2.4894988873025,131.0,1324.0,25,50,0.00604,0.286,0.293,0.00604,1.5470399999999997,163.244057706781,2.0,3.0,,,4.6097722286464435,4.6097722286464435,,257.7404560183006,239.30879163891063,179.0626506800616,198.43310389901757
01290,01294,1,B6.21,0.0,CopperweldCopper,4-A,2.4894988873025,131.0,1324.0,25,50,0.00604,0.286,0.293,0.00604,1.5470399999999997,163.244057706781,2.0,3.0,,,4.6097722286464435,4.6097722286464435,,,,,
01290,01294,2,B6.21,0.0,CopperweldCopper,8-D,2.4894988873025,131.0,1067.0,25,50,0.00356,0.723,0.731,0.00356,3.85968,90.25172546315346,2.0,3.0,,,4.6097722286464435,4.6097722286464435,,,,,
24290,24290,0,B6.21,0.0,Copperweld,Copperweld 3#8,-0.66278248542933,1127.0,2835.0,25,50,0.00439,3.44,3.51,0.00439,18.532799999999998,43.443715951068164,2.0,3.0,,,4.6097722286464435,4.6097722286464435,,21171.14311000085,2270.7103000920843,20563.27496369431,1710.9276974801196
24290,24290,1,B6.21,0.0,Copperweld,Copperweld 3#8,-0.66278248542933,1127.0,2835.0,25,50,0.00439,3.44,3.51,0.00439,18.532799999999998,43.443715951068164,2.0,3.0,,,4.6097722286464435,4.6097722286464435,,,,,
24290,24290,2,B6.21,0.0,Copperweld,Copperweld 3#8,-0.66278248542933,1127.0,2835.0,25,50,0.00439,3.44,3.51,0.00439,18.532799999999998,43.443715951068164,2.0,3.0,,,4.6097722286464435,4.6097722286464435,,,,,
24290,25520,0,A5.01,0.0,Triplex,Shrimp,-1.4551694214701,77.0,990.0,25,50,0.0095,0.26,0.31,0.0095,1.6368,178.62961180531917,1.0,,,,,,,21047.993701749896,1811.5344371133206,21047.993701749896,1811.5344371133206
24290,01427,0,B6.21,0.0,CopperweldCopper,4-A,-2.0785457068363,340.0,1744.0,25,50,0.00604,0.286,0.293,0.00604,1.5470399999999997,163.244057706781,2.0,3.0,,,4.6097722286464435,4.6097722286464435,,2217.35491551622,2058.7863219622313,1540.4855520338128,1707.1305961388764
24290,01427,1,B6.21,0.0,CopperweldCopper,4-A,-2.0785457068363,340.0,1744.0,25,50,0.00604,0.286,0.293,0.00604,1.5470399999999997,163.244057706781,2.0,3.0,,,4.6097722286464435,4.6097722286464435,,,,,
24290,01427,2,B6.21,0.0,CopperweldCopper,8-D,-2.0785457068363,340.0,1396.0,25,50,0.00356,0.723,0.731,0.00356,3.85968,90.25172546315346,2.0,3.0,,,4.6097722286464435,4.6097722286464435,,,,,
24290,01290,0,B6.21,0.0,Copperweld,Copperweld 3#8,2.30317420351,1127.0,2835.0,25,50,0.00439,3.44,3.51,0.00439,18.532799999999998,43.443715951068164,2.0,3.0,,,4.6097722286464435,4.6097722286464435,,21171.14311000085,2270.7103000920843,20563.27496369431,1710.9276974801196
24290,01290,1,B6.21,0.0,Copperweld,Copperweld 3#8,2.30317420351,1127.0,2835.0,25,50,0.00439,3.44,3.51,0.00439,18.532799999999998,43.443715951068164,2.0,3.0,,,4.6097722286464435,4.6097722286464435,,,,,
24290,01290,2,B6.21,0.0,Copperweld,Copperweld 3#8,2.30317420351,1127.0,2835.0,25,50,0.00439,3.44,3.51,0.00439,18.532799999999998,43.443715951068164,2.0,3.0,,,4.6097722286464435,4.6097722286464435,,,,,
